Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 1986 to 2004,,,,,,,,,,,,,,,,,,,,,,
,1986,1987,1988,1989,1989,1990,1991,1992,1993,1993,1994,1995,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2002.0 ,2003 ,2004 
"Akron, OH....................................................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1.5,1.2 ,1.7 ,1.0 ,0.2 ,1.4 ,1.4 ,1.7 ,1.7 ,1.9 ,2.0 
"Albany-Schenectady-Troy, NY.........................................",0.1,0.4,0.6,0.5,0.5,0.7,2,0.6,1.2,1.2,1,1.4,0.8 ,2.1 ,3.6 ,1.8 ,1.4 ,1.5 ,0.5 ,0.5 ,0.5 ,1.1 
"Atlanta, GA................................................................................",1.7,1.6,2.7,2.2,2.2,2.6,1.6,2.2,1.9,1.8,1.9,1.1,1.2 ,0.9 ,1.6 ,1.3 ,1.7 ,2.0 ,1.9 ,1.9 ,3.4 ,3.1 
"Austin-San Marcos, TX...............................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1.7,0.7 ,0.4 ,0.2 ,0.3 ,0.0 ,1.1 ,1.9 ,1.9 ,1.4 ,1.9 
"Baltimore, MD..............................................................................",0.7,1.3,0.6,0.5,0.5,0.9,1.3,0.6,2.2,2.2,2.2,3.2,2.4 ,2.4 ,1.9 ,1.7 ,1.7 ,2.7 ,1.3 ,1.4 ,1.1 ,1.4 
"Bergen-Passaic, NJ...............................................................",0.9,1.3,2.3,1.9,1.9,1.5,1.3,1.1,1,1,0.8,1.2,0.6 ,0.9 ,0.4 ,0.6 ,0.7 ,0.7 ,1.0 ,1.0 ,0.3 ,0.3 
"Birmingham, AL........................................................................",1.6,1.9,2.6,2.1,2.1,2.8,2.2,2.2,1.3,1.3,0.7,1.1,1.6 ,0.8 ,2.1 ,0.9 ,2.5 ,2.3 ,2.1 ,2.2 ,1.4 ,1.9 
"Boston, MA-NH\1.....................................................................",0.7,1.2,0.8,1.0,1.0,0.9,1.3,1.1,0.8,0.8,1.3,0.9,0.8 ,0.6 ,0.3 ,1.0 ,0.6 ,0.7 ,0.3 ,0.3 ,0.6 ,0.5 
"Buffalo, NY...................................................................................",0.1,0.2,0.4,1.1,1.1,1.0,0.9,0.8,1.1,1.1,1.1,0.9,1.2 ,1.0 ,2.6 ,2.4 ,1.6 ,1.7 ,0.5 ,0.5 ,2.5 ,1.6 
"Charlotte-Gastonia-Rock Hill, NC-SC....................................",1.7,1.5,2.1,1.3,1.3,1.6,1.5,2.1,1.5,1.4,1,0.9,1.1 ,2.0 ,2.1 ,2.1 ,1.8 ,2.7 ,3.3 ,3.2 ,2.5 ,2.6 
"Chicago, IL......................................................................................",0.7,0.8,1.0,1.2,1.2,0.8,1.5,1.3,1,1.1,1.4,0.8,1.4 ,1.5 ,1.5 ,1.3 ,0.9 ,1.7 ,2.0 ,2.0 ,1.6 ,1.4 
"Cincinnati, OH-KY-IN...................................................................",0.9,0.9,0.9,0.6,0.6,1.3,1.2,0.8,0.9,0.9,0.8,1.1,1.4 ,1.5 ,1.6 ,0.8 ,1.4 ,1.8 ,1.5 ,1.5 ,1.7 ,2.7 
