Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 1986 to 2004,,,,,,,,,,,,,,,,,,,,,
,1986,1987,1988,1989,1990,1991,1992 ,1993 ,1993\r1,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2002 ,2003 ,2004 
"Akron, OH..........................................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,64.5 ,63.6 ,65.4 ,63.3 ,65.2 ,66.9 ,63.6 ,63.8 ,65.3 ,65.6 ,71.0 ,79.1 
"Albany-Schenectady-Troy, NY..................................................",62.4 ,63.9 ,59.0 ,64.7 ,69.9 ,70.3 ,70.7 ,69.2 ,68.9 ,66.8 ,64.7 ,64.4 ,70.5 ,71.5 ,73.1 ,71.1 ,70.0 ,74.9 ,75.0 ,72.6 ,67.3 
"Atlanta, GA........................................................................................",57.5 ,58.5 ,61.0 ,61.5 ,61.0 ,62.3 ,62.8 ,62.1 ,61.9 ,59.4 ,64.1 ,68.4 ,69.4 ,67.9 ,69.0 ,67.7 ,66.6 ,68.9 ,69.0 ,67.9 ,68.4 
"Austin-San Marcos, TX.................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5 ,60.1 ,56.7 ,52.3 ,54.8 ,53.2 ,54.7 ,57.7 ,56.3 ,56.0 ,59.1 ,62.1 
"Baltimore, MD..................................................................................",58.8 ,58.2 ,60.4 ,62.9 ,63.0 ,62.8 ,62.5 ,61.9 ,61.8 ,61.9 ,64.4 ,65.6 ,71.6 ,68.0 ,68.4 ,68.2 ,68.0 ,71.8 ,71.8 ,70.4 ,71.3 
"Bergen-Passaic, NJ......................................................................",58.6 ,59.5 ,61.2 ,60.9 ,61.4 ,61.5 ,61.8 ,60.0 ,59.3 ,59.1 ,61.4 ,62.4 ,59.9 ,61.2 ,63.9 ,63.2 ,64.7 ,64.5 ,64.3 ,62.6 ,68.8 
"Birmingham, AL..............................................................................",68.6 ,65.6 ,63.6 ,64.1 ,65.7 ,68.3 ,70.2 ,70.4 ,70.0 ,70.6 ,67.4 ,64.8 ,65.0 ,66.6 ,70.5 ,69.9 ,70.8 ,68.5 ,68.7 ,71.3 ,73.6 
"Boston, MA-NH\1...........................................................................",55.9 ,56.3 ,56.6 ,55.6 ,55.0 ,56.4 ,58.1 ,57.9 ,57.4 ,57.5 ,59.2 ,60.2 ,59.5 ,58.3 ,58.3 ,58.7 ,59.0 ,59.8 ,59.7 ,59.9 ,59.4 
"Buffalo, NY........................................................................................",64.1 ,63.8 ,61.4 ,62.3 ,61.4 ,63.0 ,65.9 ,65.2 ,64.7 ,62.9 ,64.1 ,66.4 ,67.7 ,67.6 ,67.7 ,72.5 ,75.1 ,72.6 ,72.8 ,69.1 ,68.2 
"Charlotte-Gastonia-Rock Hill, NC-SC.....................................",63.0 ,62.3 ,63.0 ,64.8 ,64.8 ,67.3 ,65.1 ,64.3 ,63.7 ,68.0 ,72.6 ,72.9 ,74.5 ,74.7 ,72.5 ,75.8 ,73.6 ,73.1 ,73.1 ,74.0 ,70.4 
"Chicago, IL......................................................................................",54.7 ,55.3 ,55.7 ,56.1 ,56.9 ,56.5 ,56.6 ,56.0 ,55.3 ,57.4 ,64.6 ,65.8 ,65.4 ,65.4 ,65.2 ,66.4 ,67.8 ,67.8 ,67.6 ,68.6 ,70.1 
"Cincinnati, OH-KY-IN....................................................................",63.8 ,64.5 ,62.7 ,60.9 ,57.9 ,59.5 ,61.0 ,64.3 ,64.1 ,66.4 ,64.5 ,70.5 ,73.9 ,75.0 ,73.1 ,72.5 ,71.6 ,72.0 ,72.0 ,73.0 ,71.3 
