Table 16a. Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 2005 to 2014,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Akron, OH ................................................................................................................",78.1,77.1 ,74.6,77.3,77.1,76.9,70.9,70.0,66.0,69.0
"Albany-Schenectady-Troy, NY .....................................................................",66.3,67.0 ,68.0,69.5,71.1,72.8,72.4,70.6,67.9,67.5
"Albuquerque, NM...................................................................................................",69.2,70.0 ,70.5,68.2,65.7,65.5,67.1,62.8,65.9,64.4
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",73.5,75.1 ,74.1,74.0,72.4,71.5,75.7,75.5,71.5,68.2
"Atlanta-Sandy Springs-Marietta, GA\1....................................................",66.4,67.9 ,66.4,67.5,67.7,67.2,65.8,62.1,61.6,61.6
"Austin-Round Rock, TX\2.....................................................................................................",63.9,66.7 ,66.4,65.5,64.0,65.8,58.4,60.1,59.6,61.1
"Bakersfield, CA………………………………………………….",60.5,62.3 ,66.6,59.4,58.5,61.7,58.5,53.1,54.6,52.8
"Baltimore-Towson, MD\3.....................................................................................................",70.6,72.9 ,71.2,69.3,67.7,65.7,66.8,66.1,66.0,64.1
"Baton Rouge, LA…………………………………………………",71.0,65.0 ,66.8,74.0,70.4,70.3,72.0,71.4,66.6,64.8
"Birmingham-Hoover, AL\4......................................................................................................",75.1,76.1 ,75.0,73.3,75.1,76.2,76.1,73.2,72.1,71.9
"Boston-Cambridge-Quincy, MA-NH\5...................................................................................",63.0,64.7 ,64.8,66.2,65.5,66.0,65.5,66.0,66.3,62.8
"Bridgeport-Stamford-Norwalk, CT.....................................................................",68.2,70.4 ,70.3,72.6,70.3,71.3,71.6,70.6,70.7,67.7
"Buffalo-Cheektowaga-Tonawanda, NY\6...............................................................................",66.3,66.3 ,64.6,63.9,60.3,64.5,67.6,63.5,65.5,64.1
"Charlotte-Gastonia-Concord, NC-SC\7...................................................................................",65.8,66.1 ,66.5,65.4,66.1,66.1,63.6,58.3,58.9,58.1
"Chicago-Naperville-Joliet, IL\8....................................................................................................",70.0,69.6 ,69.0,68.4,69.2,68.2,67.7,67.1,68.2,66.3
"Cincinnati-Middletown, OH-KY-IN\9............................................................................................",68.4,65.5 ,67.6,64.7,62.4,62.8,65.2,63.4,63.3,65.5
"Cleveland-Elyria-Mentor, OH/4\10..............................................................................................",74.4,76.9 ,74.3,73.1,70.9,70.7,69.8,64.2,65.8,69.2
