Year,CountyID,State,County,Median Income
1989,AdaID1989,ID,Ada,30093
1990,AdaID1990,ID,Ada,.
1991,AdaID1991,ID,Ada,.
1992,AdaID1992,ID,Ada,.
1993,AdaID1993,ID,Ada,36652
1994,AdaID1994,ID,Ada,.
1995,AdaID1995,ID,Ada,41783
1996,AdaID1996,ID,Ada,.
1997,AdaID1997,ID,Ada,43321
1998,AdaID1998,ID,Ada,44772
1999,AdaID1999,ID,Ada,46293
2000,AdaID2000,ID,Ada,48285
2001,AdaID2001,ID,Ada,47930
2002,AdaID2002,ID,Ada,47947
2003,AdaID2003,ID,Ada,49512
2004,AdaID2004,ID,Ada,50754
2005,AdaID2005,ID,Ada,51343
2006,AdaID2006,ID,Ada,53909
2007,AdaID2007,ID,Ada,55121
2008,AdaID2008,ID,Ada,57159
2009,AdaID2009,ID,Ada,53828
2010,AdaID2010,ID,Ada,50909
2011,AdaID2011,ID,Ada,50701
2012,AdaID2012,ID,Ada,54337
2013,AdaID2013,ID,Ada,53420
2014,AdaID2014,ID,Ada,57908
2015,AdaID2015,ID,Ada,58431
2016,AdaID2016,ID,Ada,61571
2017,AdaID2017,ID,Ada,61469
2018,AdaID2018,ID,Ada,66827
2019,AdaID2019,ID,Ada,72295
1989,AustinTX1989,TX,Austin,23778
1990,AustinTX1990,TX,Austin,.
1991,AustinTX1991,TX,Austin,.
1992,AustinTX1992,TX,Austin,.
1993,AustinTX1993,TX,Austin,29051
1994,AustinTX1994,TX,Austin,.
1995,AustinTX1995,TX,Austin,31676
1996,AustinTX1996,TX,Austin,.
1997,AustinTX1997,TX,Austin,33945
1998,AustinTX1998,TX,Austin,35350
1999,AustinTX1999,TX,Austin,37489
2000,AustinTX2000,TX,Austin,40111
2001,AustinTX2001,TX,Austin,40210
2002,AustinTX2002,TX,Austin,41128
2003,AustinTX2003,TX,Austin,42007
2004,AustinTX2004,TX,Austin,42898
2005,AustinTX2005,TX,Austin,43684
2006,AustinTX2006,TX,Austin,46603
2007,AustinTX2007,TX,Austin,50277
2008,AustinTX2008,TX,Austin,49721
2009,AustinTX2009,TX,Austin,50558
2010,AustinTX2010,TX,Austin,50154
2011,AustinTX2011,TX,Austin,48209
2012,AustinTX2012,TX,Austin,51448
2013,AustinTX2013,TX,Austin,52042
2014,AustinTX2014,TX,Austin,58792
2015,AustinTX2015,TX,Austin,57960
2016,AustinTX2016,TX,Austin,55973
2017,AustinTX2017,TX,Austin,61111
2018,AustinTX2018,TX,Austin,59942
2019,AustinTX2019,TX,Austin,68311
1989,BernalilloNM1989,NM,Bernalillo,26324
1990,BernalilloNM1990,NM,Bernalillo,.
1991,BernalilloNM1991,NM,Bernalillo,.
1992,BernalilloNM1992,NM,Bernalillo,.
1993,BernalilloNM1993,NM,Bernalillo,31788
1994,BernalilloNM1994,NM,Bernalillo,.
1995,BernalilloNM1995,NM,Bernalillo,34714
1996,BernalilloNM1996,NM,Bernalillo,.
1997,BernalilloNM1997,NM,Bernalillo,36853
1998,BernalilloNM1998,NM,Bernalillo,38731
1999,BernalilloNM1999,NM,Bernalillo,38513
2000,BernalilloNM2000,NM,Bernalillo,39072
2001,BernalilloNM2001,NM,Bernalillo,39224
2002,BernalilloNM2002,NM,Bernalillo,39465
2003,BernalilloNM2003,NM,Bernalillo,41115
2004,BernalilloNM2004,NM,Bernalillo,43047
2005,BernalilloNM2005,NM,Bernalillo,42584
2006,BernalilloNM2006,NM,Bernalillo,43865
2007,BernalilloNM2007,NM,Bernalillo,45147
2008,BernalilloNM2008,NM,Bernalillo,46988
2009,BernalilloNM2009,NM,Bernalillo,45550
2010,BernalilloNM2010,NM,Bernalillo,47405
2011,BernalilloNM2011,NM,Bernalillo,44224
2012,BernalilloNM2012,NM,Bernalillo,46200
2013,BernalilloNM2013,NM,Bernalillo,48053
2014,BernalilloNM2014,NM,Bernalillo,47192
2015,BernalilloNM2015,NM,Bernalillo,47870
2016,BernalilloNM2016,NM,Bernalillo,50599
2017,BernalilloNM2017,NM,Bernalillo,51091
2018,BernalilloNM2018,NM,Bernalillo,51372
2019,BernalilloNM2019,NM,Bernalillo,56148
1989,BexarTX1989,TX,Bexar,22921
1990,BexarTX1990,TX,Bexar,.
1991,BexarTX1991,TX,Bexar,.
1992,BexarTX1992,TX,Bexar,.
1993,BexarTX1993,TX,Bexar,26519
1994,BexarTX1994,TX,Bexar,.
1995,BexarTX1995,TX,Bexar,29815
