Rental Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2005 to 2014,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Akron, OH ................................................................................................................",9.3 ,7.7 ,8.4,11.7,14.1,12.5,11.0,10.0,7.8,6.3
"Albany-Schenectady-Troy, NY .....................................................................",3.1 ,4.8 ,4.9,4.6,6.3,8.0,9.6,9.3,8.4,4.2
"Albuquerque, NM...................................................................................................",7.9 ,8.3 ,8.8,8.1,8.0,5.0,6.9,5.1,7.8,7.5
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",7.4 ,7.9 ,8.1,11.1,7.5,9.1,6.2,6.3,6.4,5.7
"Atlanta-Sandy Springs-Marietta, GA\1....................................................",15.3 ,12.3 ,14.7,16.1,16.6,13.8,11.6,10.6,10.2,8.8
"Austin-Round Rock, TX\2.....................................................................................................",9.4 ,7.2 ,6.8,11.8,12.2,11.8,6.4,9.6,12.1,10.9
"Bakersfield, CA…………………………………………………",5.4 ,7.4 ,11.2,8.7,4.9,6.3,4.0,3.2,6.9,4.6
"Baltimore-Towson, MD\3.....................................................................................................",10.3 ,11.7 ,11.3,12.4,13.4,11.8,10.7,9.7,9.5,7.4
"Baton Rouge, LA……………………………………………….",15.9 ,7.2 ,4.4,9.2,8.5,9.4,11.0,5.6,6.1,7.2
"Birmingham-Hoover, AL\4......................................................................................................",13.8 ,17.2 ,17.5,10.6,13.1,8.8,12.6,10.8,9.9,13.0
"Boston-Cambridge-Quincy, MA-NH\5...................................................................................",5.1 ,5.3 ,5.0,5.9,6.0,6.2,5.5,5.9,6.8,4.9
"Bridgeport-Stamford-Norwalk, CT.....................................................................",5.6 ,6.0 ,6.7,7.2,8.4,8.7,6.3,6.7,5.1,5.6
"Buffalo-Cheektowaga-Tonawanda, NY\6...............................................................................",10.5 ,13.1 ,8.6,7.0,6.8,11.1,10.7,10.6,10.4,8.0
"Charlotte-Gastonia-Concord, NC-SC\7...................................................................................",11.1 ,13.5 ,11.0,12.1,12.1,11.2,10.1,6.4,6.4,6.0
"Chicago-Naperville-Joliet, IL\8....................................................................................................",13.1 ,13.0 ,11.0,9.9,12.0,12.1,9.9,9.7,10.9,9.1
"Cincinnati-Middletown, OH-KY-IN\9............................................................................................",12.7 ,12.3 ,12.0,8.5,11.3,12.0,11.1,9.3,8.9,7.9
"Cleveland-Elyria-Mentor, OH/4\10..............................................................................................",18.3 ,13.5 ,13.9,13.4,12.5,11.3,11.0,10.1,9.2,7.0
"Columbia, SC…………………………………………………………",7.5 ,8.9 ,8.3,6.8,8.4,9.4,8.7,5.7,11.0,9.5
"Columbus, OH............................................................................................................................................",13.8 ,13.1 ,13.3,9.2,7.6,8.0,8.2,8.3,6.3,7.0
"Dallas-Ft. Worth-Arlington, TX\11...........................................................................................................",13.6 ,11.7 ,11.0,10.5,11.7,13.5,11.8,9.2,8.2,9.8
"Dayton, OH...........................................................................................................................................................",14.6 ,16.4 ,16.6,16.5,18.8,18.6,11.1,16.5,11.6,8.9
"Denver-Aurora, CO\12...............................................................................................................................",12.0 ,11.1 ,10.1,7.1,10.2,8.2,6.8,4.7,5.3,3.3
"Detroit-Warren-Livonia, MI\13....................................................................................................................",15.2 ,21.2 ,19.4,18.3,15.8,16.4,16.8,14.8,12.1,9.5
"El Paso, TX………………………………………………………",6.8 ,5.5 ,6.3,9.5,9.6,5.8,9.2,8.2,7.9,9.2
"Fresno, CA………………………………………………………",4.4 ,5.6 ,5.6,8.9,9.7,10.1,8.0,5.6,6.4,4.6
"Grand Rapids-Wyoming, MI\14....................................................................................................................................",11.2 ,11.4 ,12.7,7.4,5.5,6.9,6.1,5.6,5.1,3.7
"Greensboro-High Point, NC\15............................................................................................................................",10.5 ,7.5 ,8.2,17.6,15.2,12.8,11.9,7.6,9.6,8.6
"Hartford-West Hartford-East Hartford, CT\16................................................................................",9.5 ,7.8 ,7.4,9.6,8.5,11.6,10.0,7.4,9.0,6.0
"Honolulu, HI..................................................................................................................................",3.9 ,3.9 ,5.1,5.1,6.9,7.2,6.9,6.3,6.0,5.6
"Houston-Baytown-Sugar Land, TX\17....................................................................................................",15.4 ,16.8 ,17.3,15.6,15.6,16.2,16.5,11.4,10.0,8.6
"Indianapolis, IN.............................................................................................................................................",15.7 ,19.4 ,14.9,19.3,12.6,14.1,13.1,11.1,10.9,10.9
"Jacksonville, FL..........................................................................................................................................",10.2 ,12.5 ,14.5,15.3,15.9,13.9,13.3,11.7,8.4,11.1
"Kansas City, MO-KS.............................................................................................................................................",15.6 ,14.1 ,15.8,14.1,14.4,14.0,12.1,11.2,10.1,9.5
"Las Vegas-Paradise, NV\18..................................................................................................................",9.0 ,9.6 ,10.9,14.9,14.3,13.8,12.1,12.8,14.1,10.1
"Los Angeles-Long Beach-Santa Ana, CA \19...............................................................................................................",4.4 ,4.0 ,4.7,5.3,6.4,6.7,5.3,4.9,4.2,4.6
"Louisville, KY-IN..............................................................................................................................................................",9.3 ,9.9 ,11.7,10.2,12.1,9.6,10.2,7.2,7.8,5.5
"Memphis, TN-AR-MS.............................................................................................................................................",10.2 ,9.5 ,12.8,16.6,22.9,18.5,15.4,14.9,13.4,15.1
"Miami-Fort Lauderdale-Miami Beach, FL\20....................................................................................................................",7.3 ,7.3 ,10.4,12.1,13.2,10.1,11.8,8.2,6.7,7.0
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",11.6 ,7.8 ,8.3,7.8,8.7,7.6,7.6,8.2,9.0,4.5
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",10.6 ,8.4 ,6.9,7.2,8.5,7.4,6.7,5.3,5.4,4.4
"Nashville-Davidson-Murfreesboro, TN\21............................................................................................................................",14.6 ,10.5 ,7.6,10.6,8.3,8.2,8.2,8.4,5.3,4.0
"New Haven-Milford, CT..............................................................................................................................................................",9.9 ,8.4 ,8.6,8.4,8.6,11.1,10.7,8.2,7.8,4.8
"New Orleans-Metairie-Kenner, LA\22.....................................................................................................................................",9.0 ,8.6 ,9.1,12.3,18.0,15.2,13.1,15.9,11.1,8.5
"New York-Northern New Jersey--Long Island, NY\23.......................................................................................................",5.0 ,5.4 ,5.7,5.2,5.9,6.6,6.4,6.4,5.4,4.6
"Oklahoma City, OK.............................................................................................................................................................................",13.5 ,10.9 ,7.4,9.9,8.3,9.6,9.9,10.2,8.7,10.1
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",8.5 ,11.3 ,11.9,12.6,11.7,10.1,11.1,9.5,6.1,5.5
"Orlando, FL............................................................................................................................................................................................",10.3 ,6.9 ,11.3,21.9,22.8,19.0,19.0,18.5,14.7,14.6
"Oxnard-Thousand Oaks-Ventura, CA…………………",4.3 ,4.1 ,5.4,4.2,5.0,6.4,3.2,2.3,5.3,2.5
"Philadelphia-Camden-Wilmington, PA .....................................................................................................................................",11.6 ,11.6 ,12.6,11.8,11.4,11.6,12.7,12.6,11.6,9.7
"Phoenix-Mesa-Scottsdale, AZ\24.......................................................................................................................................",11.2 ,9.1 ,9.2,15.0,18.3,16.3,10.9,10.3,9.7,9.7
"Pittsburgh, PA.....................................................................................................................................................................................................",10.0 ,13.4 ,9.3,7.8,9.7,7.8,6.3,6.4,7.8,6.1
"Portland-Vancouver-Beaverton, OR-WA\25......................................................................................................................................",9.7 ,7.1 ,4.8,5.5,4.3,4.2,3.4,5.0,3.1,3.6
"Poughkeepsie-Newburgh-Middletown, NJ.................................................................................................................................",7.0 ,10.0 ,9.8,9.1,12.3,9.5,13.0,4.0,4.4,3.0
Providence-New Bedford-Fall River RI-MA\26.........................................................................................................................,7.0 ,8.6 ,9.2,9.6,8.5,7.5,8.8,8.0,6.6,6.8
"Raleigh-Cary, NC\27............................................................................................................................................................................",10.7 ,9.0 ,11.2,9.9,10.3,11.4,8.9,8.8,6.9,5.3
"Richmond, VA\28.........................................................................................................................................................................",12.3 ,13.8 ,16.3,20.8,18.5,13.5,13.7,17.5,11.4,12.0
"Riverside-San Bernardino-Ontario, CA\29...................................................................................................................................",8.6 ,7.1 ,8.9,9.4,12.3,12.3,8.4,9.0,8.6,6.5
"Rochester, NY...........................................................................................................................................................................................",7.3 ,6.0 ,6.4,7.0,8.0,6.3,4.8,4.3,6.1,6.6
"Sacramento-Arden-Arcade-Roseville, CA\30........................................................................................................................",8.5 ,12.7 ,9.5,10.4,10.6,8.4,7.1,5.7,7.0,6.5
"St. Louis, MO-IL..................................................................................................................................................................................",15.5 ,12.6 ,10.7,10.7,11.2,11.2,12.6,12.6,13.2,10.3
"Salt Lake City, UT\31....................................................................................................................................................................",7.0 ,4.7 ,5.3,9.2,10.2,6.0,7.4,7.3,6.7,9.8
"San Antonio, TX ...........................................................................................................................................................................",15.4 ,14.1 ,16.3,11.5,12.1,14.0,9.2,9.0,9.1,7.3
San Diego-Carlsbad-San Marcos\32.................................................................................................................................,6.3 ,7.3 ,7.1,7.2,8.8,7.8,6.9,7.1,5.5,4.8
"San Francisco-Oakland-Fremont, CA\33....................................................................................................................................",8.0 ,6.9 ,6.2,5.4,6.7,6.0,6.8,3.2,3.9,3.2
"San Jose-Sunnyvale-Santa Clara, CA\34...................................................................................................................................",6.7 ,6.0 ,3.8,5.6,7.7,8.2,4.8,3.8,3.0,2.9
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",6.9 ,5.6 ,4.9,4.5,8.0,7.4,6.7,5.7,4.3,4.4
"Springfield, MA...................................................................................................................................................................................",6.7 ,5.5 ,6.7,4.6,4.4,7.3,4.0,7.0,5.9,4.9
"Syracuse, NY……………………………………………………..",5.8 ,8.8 ,13.6,12.9,12.1,10.6,5.7,6.3,10.5,8.1
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",9.4 ,7.8 ,12.8,15.4,12.4,12.6,11.7,13.0,9.2,8.4
"Toledo, OH………………………………………………………..",10.0 ,11.1 ,8.5,10.5,13.9,14.4,12.8,5.0,6.2,10.3
"Tucson, AZ ..........................................................................................................................................................................................................",9.7 ,7.1 ,7.9,7.1,14.3,11.1,14.8,14.3,13.9,9.0
"Tulsa, OK....................................................................................................................................................................................................",16.3 ,14.5 ,13.5,9.8,15.1,15.9,13.0,9.5,10.5,9.7
"Virginia Beach-Norfolk-Newport News, VA\35...............................................................................................................................",7.4 ,7.7 ,7.7,6.7,6.2,8.8,9.4,8.7,7.0,6.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV\36..........................................................................................",7.1 ,8.4 ,10.4,10.0,10.0,8.8,7.9,6.4,7.2,6.7
"Worcester, MA.........................................................................................................................................................................................",8.9 ,9.6 ,7.0,9.7,6.3,7.5,4.9,3.7,6.4,4.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
