NAME,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Akron, OH ",75.7,75.3,80.5,79.7,75.7,76.5,72,71.6,71,63.2
"Albany-Schenectady-Troy, NY ",72,65.8,66.5,67.3,72.4,71.7,72.3,74.6,68.9,64.9
"Albuquerque, NM",70.5,70,67.4,66.7,65.9,67,72.2,64.6,66.8,63.5
"Allentown-Bethlehem-Easton, PA-NJ",71.9,74.5,74.6,76.9,72.1,71.4,74.7,72.9,68.4,70.7
"Atlanta-Sandy Springs-Marietta, GA\1",65,68.9,68.8,67,68.1,67,68.4,63.2,62.9,60.3
"Austin-Round Rock, TX\2",59,61.2,65.6,64,61.8,66.2,61.2,58.8,61.9,58.4
"Bakersfield, CA…",57.9,56.1,67.9,62.4,59.5,61.5,56.5,50.6,50.9,51.8
"Baltimore-Towson, MD\3",68.8,74.8,71.4,69.5,69.5,66,64.7,67,65.6,65.8
"Baton Rouge, LA…",69,59.5,59.2,74.7,71.9,72.8,76.5,70.2,65.9,69.7
"Birmingham-Hoover, AL\4",76,75.4,72.8,71.6,73.1,74.5,78.8,73.1,72,72
"Boston-Cambridge-Quincy, MA-NH\5",62.8,62.7,65.2,65.4,64.5,63.8,66.4,65.2,66.5,61.8
"Bridgeport-Stamford-Norwalk, CT",57.5,75.2,71.5,72.4,68.8,73.2,71.9,71,71.5,70.5
"Buffalo-Cheektowaga-Tonawanda, NY\6",66.9,68.8,64.5,64.8,60.7,62.2,68,61.7,63.9,64.5
"Charlotte-Gastonia-Concord, NC-SC\7",64.4,65.5,66.7,64,66.4,65.5,61,56.5,58.6,58.9
"Chicago-Naperville-Joliet, IL\8",69.9,68.3,69.1,69.3,69.1,67.4,67.7,66.9,68.6,67.8
"Cincinnati-Middletown, OH-KY-IN\9",69.8,68.1,69.4,65.4,62.4,63.7,66,63.2,63.6,64
"Cleveland-Elyria-Mentor, OH\10",70.6,76.1,77.2,72.8,67.3,72.2,70.7,66.3,62,68.7
"Columbia, SC",73.6,66.2,67.5,70.9,68.1,72.3,69.8,64.1,69.2,70.1
"Columbus, OH",64.2,64.5,64.8,63.6,61.5,63.2,62.8,62.9,62.9,63.8
"Dallas-Ft Worth-Arlington, TX\11",64.6,62.4,62.2,60.1,59.8,64.5,61.4,62.6,57.8,58.9
"Dayton, OH",67.1,63.6,65.5,63.3,64.8,63.7,68.8,65.6,63.5,66.9
"Denver-Aurora, CO\12",71.5,69,69.9,66.6,68.6,66.4,62.4,61.9,61,63.6
"Detroit-Warren-Livonia, MI\13",74.1,75.6,77.7,74.2,72.5,73.1,73.8,72.8,71.3,71.1
"El Paso, TX",75.3,58.9,68.2,70.8,67.3,68.1,72.2,69.9,68.9,69.6
