Year,CountyID,State,County,Building Permits
1990,Sumter1990,FL,Sumter,156
1991,Sumter1991,FL,Sumter,242
1992,Sumter1992,FL,Sumter,143
1993,Sumter1993,FL,Sumter,497
1994,Sumter1994,FL,Sumter,703
1995,Sumter1995,FL,Sumter,858
1996,Sumter1996,FL,Sumter,885
1997,Sumter1997,FL,Sumter,1305
1998,Sumter1998,FL,Sumter,1327
1999,Sumter1999,FL,Sumter,1576
2000,Sumter2000,FL,Sumter,1909
2001,Sumter2001,FL,Sumter,1678
2002,Sumter2002,FL,Sumter,510
2003,Sumter2003,FL,Sumter,2280
2004,Sumter2004,FL,Sumter,4153
2005,Sumter2005,FL,Sumter,5047
2006,Sumter2006,FL,Sumter,3576
2007,Sumter2007,FL,Sumter,2420
2008,Sumter2008,FL,Sumter,2710
2009,Sumter2009,FL,Sumter,2253
2010,Sumter2010,FL,Sumter,2420
2011,Sumter2011,FL,Sumter,2655
2012,Sumter2012,FL,Sumter,3199
2013,Sumter2013,FL,Sumter,3857
2014,Sumter2014,FL,Sumter,2570
2015,Sumter2015,FL,Sumter,1568
2016,Sumter2016,FL,Sumter,1072
2017,Sumter2017,FL,Sumter,1814
2018,Sumter2018,FL,Sumter,2076
2019,Sumter2019,FL,Sumter,2928
1999,MiamiDade1999,FL,MiamiDade,14067
2000,MiamiDade2000,FL,MiamiDade,12475
2001,MiamiDade2001,FL,MiamiDade,13996
2002,MiamiDade2002,FL,MiamiDade,14606
2003,MiamiDade2003,FL,MiamiDade,15533
2004,MiamiDade2004,FL,MiamiDade,22856
2005,MiamiDade2005,FL,MiamiDade,26120
2006,MiamiDade2006,FL,MiamiDade,20017
2007,MiamiDade2007,FL,MiamiDade,8082
2008,MiamiDade2008,FL,MiamiDade,3474
2009,MiamiDade2009,FL,MiamiDade,1395
2010,MiamiDade2010,FL,MiamiDade,3203
2011,MiamiDade2011,FL,MiamiDade,2618
2012,MiamiDade2012,FL,MiamiDade,5069
2013,MiamiDade2013,FL,MiamiDade,10316
2014,MiamiDade2014,FL,MiamiDade,7731
2015,MiamiDade2015,FL,MiamiDade,12617
2016,MiamiDade2016,FL,MiamiDade,9317
2017,MiamiDade2017,FL,MiamiDade,10554
2018,MiamiDade2018,FL,MiamiDade,11703
2019,MiamiDade2019,FL,MiamiDade,10008
1990,ElPaso1990,CO,ElPaso,1049
1991,ElPaso1991,CO,ElPaso,1233
1992,ElPaso1992,CO,ElPaso,2857
1993,ElPaso1993,CO,ElPaso,3715
1994,ElPaso1994,CO,ElPaso,3806
1995,ElPaso1995,CO,ElPaso,4725
1996,ElPaso1996,CO,ElPaso,5292
1997,ElPaso1997,CO,ElPaso,4795
1998,ElPaso1998,CO,ElPaso,4953
1999,ElPaso1999,CO,ElPaso,5537
2000,ElPaso2000,CO,ElPaso,6264
2001,ElPaso2001,CO,ElPaso,7116
2002,ElPaso2002,CO,ElPaso,6827
