CountyID,County,State,Year,Population
LosAngeles2010,LosAngeles,CA,2010,9823246
LosAngeles2011,LosAngeles,CA,2011,9876482
LosAngeles2012,LosAngeles,CA,2012,9935375
LosAngeles2013,LosAngeles,CA,2013,9992484
LosAngeles2014,LosAngeles,CA,2014,10040072
LosAngeles2015,LosAngeles,CA,2015,10085416
LosAngeles2016,LosAngeles,CA,2016,10105708
LosAngeles2017,LosAngeles,CA,2017,10103711
LosAngeles2018,LosAngeles,CA,2018,10073906
LosAngeles2019,LosAngeles,CA,2019,10039107
Orange2010,Orange,CA,2010,3015171
Orange2011,Orange,CA,2011,3049271
Orange2012,Orange,CA,2012,3078068
Orange2013,Orange,CA,2013,3104950
Orange2014,Orange,CA,2014,3126537
Orange2015,Orange,CA,2015,3149280
Orange2016,Orange,CA,2016,3164986
Orange2017,Orange,CA,2017,3174289
Orange2018,Orange,CA,2018,3175973
Orange2019,Orange,CA,2019,3175692
Riverside2010,Riverside,CA,2010,2201576
Riverside2011,Riverside,CA,2011,2234070
Riverside2012,Riverside,CA,2012,2261204
Riverside2013,Riverside,CA,2013,2286755
Riverside2014,Riverside,CA,2014,2316162
Riverside2015,Riverside,CA,2015,2345816
Riverside2016,Riverside,CA,2016,2380081
Riverside2017,Riverside,CA,2017,2414964
Riverside2018,Riverside,CA,2018,2445789
Riverside2019,Riverside,CA,2019,2470546
SanBernardino2010,SanBernardino,CA,2010,2040848
SanBernardino2011,SanBernardino,CA,2011,2060827
SanBernardino2012,SanBernardino,CA,2012,2073512
SanBernardino2013,SanBernardino,CA,2013,2082738
SanBernardino2014,SanBernardino,CA,2014,2099181
SanBernardino2015,SanBernardino,CA,2015,2115411
SanBernardino2016,SanBernardino,CA,2016,2131960
SanBernardino2017,SanBernardino,CA,2017,2150945
SanBernardino2018,SanBernardino,CA,2018,2166753
SanBernardino2019,SanBernardino,CA,2019,2180085
SanDiego2010,SanDiego,CA,2010,3103212
SanDiego2011,SanDiego,CA,2011,3137156
SanDiego2012,SanDiego,CA,2012,3174335
SanDiego2013,SanDiego,CA,2013,3209768
SanDiego2014,SanDiego,CA,2014,3248877
SanDiego2015,SanDiego,CA,2015,3280850
SanDiego2016,SanDiego,CA,2016,3306089
SanDiego2017,SanDiego,CA,2017,3321237
SanDiego2018,SanDiego,CA,2018,3333861
SanDiego2019,SanDiego,CA,2019,3338330
Bexar2010,Bexar,TX,2010,1722838
Bexar2011,Bexar,TX,2011,1755361
Bexar2012,Bexar,TX,2012,1788738
Bexar2013,Bexar,TX,2013,1821328
Bexar2014,Bexar,TX,2014,1858003
Bexar2015,Bexar,TX,2015,1894834
Bexar2016,Bexar,TX,2016,1927651
Bexar2017,Bexar,TX,2017,1956988
Bexar2018,Bexar,TX,2018,1981187
Bexar2019,Bexar,TX,2019,2003554
Collin2010,Collin,TX,2010,787614
Collin2011,Collin,TX,2011,812540
Collin2012,Collin,TX,2012,835230
Collin2013,Collin,TX,2013,856398
Collin2014,Collin,TX,2014,884688
Collin2015,Collin,TX,2015,915243
Collin2016,Collin,TX,2016,943742
Collin2017,Collin,TX,2017,971864
Collin2018,Collin,TX,2018,1004307
Collin2019,Collin,TX,2019,1034730
Comal2010,Comal,TX,2010,109306
Comal2011,Comal,TX,2011,112113
Comal2012,Comal,TX,2012,114873
Comal2013,Comal,TX,2013,118627
Comal2014,Comal,TX,2014,123214
Comal2015,Comal,TX,2015,128795
Comal2016,Comal,TX,2016,134343
Comal2017,Comal,TX,2017,140721
Comal2018,Comal,TX,2018,148141
Comal2019,Comal,TX,2019,156209
Dallas2010,Dallas,TX,2010,2372993
Dallas2011,Dallas,TX,2011,2408697
Dallas2012,Dallas,TX,2012,2455930
Dallas2013,Dallas,TX,2013,2484486
Dallas2014,Dallas,TX,2014,2519410
Dallas2015,Dallas,TX,2015,2557830
Dallas2016,Dallas,TX,2016,2591488
Dallas2017,Dallas,TX,2017,2620154
Dallas2018,Dallas,TX,2018,2629350
Dallas2019,Dallas,TX,2019,2635516
Kendall2010,Kendall,TX,2010,33589
Kendall2011,Kendall,TX,2011,34421
Kendall2012,Kendall,TX,2012,35551
Kendall2013,Kendall,TX,2013,37133
Kendall2014,Kendall,TX,2014,38363
Kendall2015,Kendall,TX,2015,39938
Kendall2016,Kendall,TX,2016,41903
Kendall2017,Kendall,TX,2017,43969
Kendall2018,Kendall,TX,2018,45603
Kendall2019,Kendall,TX,2019,47431
Tarrant2010,Tarrant,TX,2010,1817480
Tarrant2011,Tarrant,TX,2011,1847882
Tarrant2012,Tarrant,TX,2012,1882205
Tarrant2013,Tarrant,TX,2013,1912767
Tarrant2014,Tarrant,TX,2014,1946122
Tarrant2015,Tarrant,TX,2015,1984880
Tarrant2016,Tarrant,TX,2016,2023556
Tarrant2017,Tarrant,TX,2017,2056451
Tarrant2018,Tarrant,TX,2018,2081446
Tarrant2019,Tarrant,TX,2019,2102515
Travis2010,Travis,TX,2010,1030503
Travis2011,Travis,TX,2011,1061709
Travis2012,Travis,TX,2012,1096886
Travis2013,Travis,TX,2013,1122248
Travis2014,Travis,TX,2014,1152260
Travis2015,Travis,TX,2015,1179805
Travis2016,Travis,TX,2016,1206110
Travis2017,Travis,TX,2017,1227585
Travis2018,Travis,TX,2018,1246572
Travis2019,Travis,TX,2019,1273954
Austin2010,Austin,TX,2010,28363
Austin2011,Austin,TX,2011,28604
Austin2012,Austin,TX,2012,28562
Austin2013,Austin,TX,2013,28679
Austin2014,Austin,TX,2014,28968
Austin2015,Austin,TX,2015,29471
Austin2016,Austin,TX,2016,29629
Austin2017,Austin,TX,2017,29722
Austin2018,Austin,TX,2018,29965
Austin2019,Austin,TX,2019,30032
Harris2010,Harris,TX,2010,4107666
Harris2011,Harris,TX,2011,4179568
Harris2012,Harris,TX,2012,4263094
Harris2013,Harris,TX,2013,4353187
Harris2014,Harris,TX,2014,4455994
Harris2015,Harris,TX,2015,4557846
Harris2016,Harris,TX,2016,4623960
Harris2017,Harris,TX,2017,4657972
Harris2018,Harris,TX,2018,4680045
Harris2019,Harris,TX,2019,4713325
Clark2010,Clark,WA,2010,426704
Clark2011,Clark,WA,2011,432283
Clark2012,Clark,WA,2012,436361
Clark2013,Clark,WA,2013,441341
Clark2014,Clark,WA,2014,448202
Clark2015,Clark,WA,2015,456939
Clark2016,Clark,WA,2016,465272
Clark2017,Clark,WA,2017,474381
Clark2018,Clark,WA,2018,481427
Clark2019,Clark,WA,2019,488241
King2010,King,WA,2010,1938351
King2011,King,WA,2011,1974200
King2012,King,WA,2012,2011197
King2013,King,WA,2013,2047223
King2014,King,WA,2014,2085225
King2015,King,WA,2015,2126178
King2016,King,WA,2016,2166350
King2017,King,WA,2017,2203836
King2018,King,WA,2018,2228364
King2019,King,WA,2019,2252782
Pierce2010,Pierce,WA,2010,795390
Pierce2011,Pierce,WA,2011,807623
Pierce2012,Pierce,WA,2012,815535
Pierce2013,Pierce,WA,2013,821012
Pierce2014,Pierce,WA,2014,832696
Pierce2015,Pierce,WA,2015,843778
Pierce2016,Pierce,WA,2016,862895
Pierce2017,Pierce,WA,2017,879654
Pierce2018,Pierce,WA,2018,893756
Pierce2019,Pierce,WA,2019,904980
Snohomish2010,Snohomish,WA,2010,715500
Snohomish2011,Snohomish,WA,2011,722068
Snohomish2012,Snohomish,WA,2012,732097
Snohomish2013,Snohomish,WA,2013,744112
Snohomish2014,Snohomish,WA,2014,757239
Snohomish2015,Snohomish,WA,2015,769698
Snohomish2016,Snohomish,WA,2016,787110
Snohomish2017,Snohomish,WA,2017,802089
Snohomish2018,Snohomish,WA,2018,813059
Snohomish2019,Snohomish,WA,2019,822083
Clackamas2010,Clackamas,OR,2010,376788
Clackamas2011,Clackamas,OR,2011,379592
Clackamas2012,Clackamas,OR,2012,383074
Clackamas2013,Clackamas,OR,2013,387442
Clackamas2014,Clackamas,OR,2014,393378
Clackamas2015,Clackamas,OR,2015,399647
Clackamas2016,Clackamas,OR,2016,406625
Clackamas2017,Clackamas,OR,2017,412442
Clackamas2018,Clackamas,OR,2018,415416
Clackamas2019,Clackamas,OR,2019,418187
Multnomah2010,Multnomah,OR,2010,737276
Multnomah2011,Multnomah,OR,2011,749742
Multnomah2012,Multnomah,OR,2012,760198
Multnomah2013,Multnomah,OR,2013,766532
Multnomah2014,Multnomah,OR,2014,778430
Multnomah2015,Multnomah,OR,2015,790008
Multnomah2016,Multnomah,OR,2016,803212
Multnomah2017,Multnomah,OR,2017,807885
