,,,,,,,,,,,,,,,
Gross Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2005 to 2019,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Akron, OH ................................................................................................................",8.0,8.4,9.8,9.7,11.6,13.6,13.8,12.2,11.6,9.6,11.6,10.4,8.8,5.6,7.3
"Albany-Schenectady-Troy, NY .....................................................................",7.2,7.4,10.9,11.1,12.4,10.7,9.5,8.6,9.4,10.8,13.2,11.8,10.5,11.6,17.8
"Albuquerque, NM...................................................................................................",7.7,7.9,8.7,8.5,8.5,7.4,7.1,7.1,8.4,8.6,9.3,9.2,8.9,8.3,7.9
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",6.0,6.6,7.0,9.3,8.1,8.6,8.7,9.1,7.9,6.9,9.1,7.4,9.5,9.3,7.7
"Atlanta-Sandy Springs-Marietta, GA\1....................................................",11.0,10.9,12.6,12.6,13.0,11.7,12.8,12.5,12.4,11.0,11.0,9.7,8.9,7.8,7.6
"Austin-Round Rock, TX\2.....................................................................................................",13.3,8.9,7.7,11.4,12.8,15.8,12.6,12.7,12.5,12.4,9.2,8.2,10.4,9.7,10.7
"Bakersfield, CA…………………………………………………",7.8,9.7,10.6,11.2,13.8,13.2,12.9,11.3,13.8,8.7,10.7,12.8,12.2,10.1,9.7
"Baltimore-Towson, MD\3.....................................................................................................",9.8,10.0,9.6,11.9,12.3,11.0,11.7,11.7,10.5,9.7,11.8,12.3,13.6,13.0,13.9
"Baton Rouge, LA……………………………………………….",14.5,12.3,12.1,14.3,12.8,11.9,11.0,10.5,10.8,12.8,16.0,16.7,15.6,13.9,12.5
"Birmingham-Hoover, AL\4......................................................................................................",13.2,15.6,15.1,14.3,12.9,14.8,14.4,13.2,14.2,14.3,9.9,7.8,7.6,7.5,7.1
"Boston-Cambridge-Quincy, MA-NH\5...................................................................................",7.5,8.3,8.8,8.4,8.2,8.5,8.7,8.6,7.8,9.2,11.3,8.6,9.3,10.4,8.5
"Bridgeport-Stamford-Norwalk, CT.....................................................................",10.1,11.3,11.2,12.5,10.2,11.0,11.1,9.9,10.2,10.8,12.3,11.6,12.4,9.5,7.2
"Buffalo-Cheektowaga-Tonawanda, NY\6...............................................................................",10.1,12.8,9.9,9.4,9.7,12.2,14.5,11.3,9.6,10.3,37.0,38.5,39.1,41.5,40.0
"Charlotte-Gastonia-Concord, NC-SC\7...................................................................................",9.6,10.4,10.2,11.6,12.9,11.7,9.2,8.0,9.3,7.9,14.3,14.8,16.5,16.0,18.4
"Chicago-Naperville-Joliet, IL\8....................................................................................................",9.1,9.3,10.0,10.7,11.4,11.9,11.8,10.8,10.5,10.3,8.2,7.7,6.9,8.5,9.3
"Cincinnati-Middletown, OH-KY-IN\9............................................................................................",12.3,11.6,13.3,12.8,12.9,13.2,13.2,11.2,11.2,10.1,9.7,8.6,8.4,7.5,7.6
"Cleveland-Elyria-Mentor, OH/4\10..............................................................................................",12.8,12.2,12.5,12.8,13.9,11.4,11.9,10.8,9.9,9.2,10.5,9.2,8.4,6.8,8.6
"Columbia, SC…………………………………………………………",13.4,13.2,12.3,13.2,13.3,11.1,12.4,12.5,12.5,12.3,11.0,11.1,9.2,10.4,10.1
"Columbus, OH............................................................................................................................................",11.2,11.3,12.6,11.6,10.8,11.7,11.8,13.7,9.8,10.2,11.0,10.2,11.0,8.9,10.6
"Dallas-Ft. Worth-Arlington, TX\11...........................................................................................................",9.9,9.4,9.7,9.5,9.4,10.5,9.8,8.7,9.0,9.2,9.6,8.0,6.6,7.4,4.5
"Dayton, OH...........................................................................................................................................................",12.6,13.5,14.9,16.9,16.8,15.2,17.0,17.6,12.9,10.1,8.0,7.9,7.8,7.8,7.6
"Denver-Aurora, CO\12...............................................................................................................................",9.2,10.0,9.5,8.5,9.2,7.2,7.0,6.3,6.3,6.1,11.4,12.0,11.1,11.0,11.3
"Detroit-Warren-Livonia, MI\13....................................................................................................................",9.4,12.5,12.7,12.9,12.1,12.7,12.4,11.3,11.6,11.1,7.4,6.4,7.8,8.0,7.5
"El Paso, TX………………………………………………………",5.7,8.4,9.4,9.0,8.6,7.0,6.5,4.3,8.8,9.3,9.7,8.3,8.1,9.2,9.6
"Fresno, CA………………………………………………………",6.6,8.1,7.3,11.5,11.5,10.5,8.5,5.6,6.1,6.3,8.2,6.2,4.0,4.3,6.2
"Grand Rapids-Wyoming, MI\14....................................................................................................................................",11.5,10.7,8.9,10.1,9.7,12.1,11.0,8.8,7.2,6.5,9.2,7.1,8.5,8.9,7.4
"Greensboro-High Point, NC\15............................................................................................................................",10.2,8.0,8.5,14.7,13.8,12.8,12.4,12.1,12.5,11.4,15.7,10.9,10.2,11.6,9.9
"Hartford-West Hartford-East Hartford, CT\16................................................................................",7.9,9.5,8.1,9.2,9.5,11.1,9.7,9.6,9.9,8.2,10.5,13.4,10.1,7.2,5.6
"Honolulu, HI..................................................................................................................................",9.3,10.4,10.1,9.9,10.9,11.5,12.1,10.2,10.9,12.3,9.2,8.6,9.3,8.8,9.8
"Houston-Baytown-Sugar Land, TX\17....................................................................................................",12.9,13.8,14.4,12.7,12.5,12.2,11.8,9.8,9.6,8.9,7.4,9.1,10.9,8.7,7.2
"Indianapolis, IN.............................................................................................................................................",12.4,12.5,11.4,12.6,10.0,12.1,12.4,10.5,9.2,8.8,15.8,14.5,12.5,10.1,10.1
"Jacksonville, FL..........................................................................................................................................",11.8,12.6,13.0,14.7,14.3,14.9,14.7,15.4,14.2,16.6,7.3,8.1,8.1,7.8,8.9
"Kansas City, MO-KS.............................................................................................................................................",9.5,11.0,11.4,10.9,11.0,10.7,11.1,10.5,10.8,9.0,11.0,10.6,11.2,10.9,10.2
"Las Vegas-Paradise, NV\18..................................................................................................................",12.7,11.0,14.1,16.7,16.7,17.2,16.4,16.2,16.6,14.3,12.0,11.8,12.6,11.4,10.2
"Los Angeles-Long Beach-Santa Ana, CA \19...............................................................................................................",5.0,5.1,6.0,5.8,6.6,7.2,6.7,6.2,6.2,5.8,12.0,11.8,10.3,10.5,9.9
"Louisville, KY-IN..............................................................................................................................................................",8.2,8.7,9.2,9.6,10.0,9.7,10.8,10.6,11.0,10.3,5.4,5.0,6.3,6.6,6.3
