State,County,CountyID,Population Change Abs,Pop Change (%),Attribute,Value
AL,Baldwin,BaldwinAL,40969,22.47771103,2010,183112
AL,Baldwin,BaldwinAL,40969,22.47771103,2011,186558
AL,Baldwin,BaldwinAL,40969,22.47771103,2012,190145
AL,Baldwin,BaldwinAL,40969,22.47771103,2013,194885
AL,Baldwin,BaldwinAL,40969,22.47771103,2014,199183
AL,Baldwin,BaldwinAL,40969,22.47771103,2015,202939
AL,Baldwin,BaldwinAL,40969,22.47771103,2016,207601
AL,Baldwin,BaldwinAL,40969,22.47771103,2017,212521
AL,Baldwin,BaldwinAL,40969,22.47771103,2018,217855
AL,Baldwin,BaldwinAL,40969,22.47771103,2019,223234
AL,Limestone,LimestoneAL,16129,19.48276279,2010,83181
AL,Limestone,LimestoneAL,16129,19.48276279,2011,85557
AL,Limestone,LimestoneAL,16129,19.48276279,2012,87326
AL,Limestone,LimestoneAL,16129,19.48276279,2013,88916
AL,Limestone,LimestoneAL,16129,19.48276279,2014,90599
AL,Limestone,LimestoneAL,16129,19.48276279,2015,91565
AL,Limestone,LimestoneAL,16129,19.48276279,2016,92847
AL,Limestone,LimestoneAL,16129,19.48276279,2017,94130
AL,Limestone,LimestoneAL,16129,19.48276279,2018,96177
AL,Limestone,LimestoneAL,16129,19.48276279,2019,98915
AL,Lee,LeeAL,24255,17.28955641,2010,140794
AL,Lee,LeeAL,24255,17.28955641,2011,144130
AL,Lee,LeeAL,24255,17.28955641,2012,148567
AL,Lee,LeeAL,24255,17.28955641,2013,151809
AL,Lee,LeeAL,24255,17.28955641,2014,154511
AL,Lee,LeeAL,24255,17.28955641,2015,156954
AL,Lee,LeeAL,24255,17.28955641,2016,159168
AL,Lee,LeeAL,24255,17.28955641,2017,161440
AL,Lee,LeeAL,24255,17.28955641,2018,163656
AL,Lee,LeeAL,24255,17.28955641,2019,164542
AL,Shelby,ShelbyAL,22449,11.49739057,2010,196032
AL,Shelby,ShelbyAL,22449,11.49739057,2011,197952
AL,Shelby,ShelbyAL,22449,11.49739057,2012,200912
AL,Shelby,ShelbyAL,22449,11.49739057,2013,204039
AL,Shelby,ShelbyAL,22449,11.49739057,2014,206280
AL,Shelby,ShelbyAL,22449,11.49739057,2015,208959
AL,Shelby,ShelbyAL,22449,11.49739057,2016,211282
AL,Shelby,ShelbyAL,22449,11.49739057,2017,213633
AL,Shelby,ShelbyAL,22449,11.49739057,2018,215583
AL,Shelby,ShelbyAL,22449,11.49739057,2019,217702
AL,Madison,MadisonAL,38102,11.38028775,2010,336095
AL,Madison,MadisonAL,38102,11.38028775,2011,339565
AL,Madison,MadisonAL,38102,11.38028775,2012,342730
AL,Madison,MadisonAL,38102,11.38028775,2013,346625
AL,Madison,MadisonAL,38102,11.38028775,2014,349796
AL,Madison,MadisonAL,38102,11.38028775,2015,352977
AL,Madison,MadisonAL,38102,11.38028775,2016,356729
AL,Madison,MadisonAL,38102,11.38028775,2017,361762
AL,Madison,MadisonAL,38102,11.38028775,2018,367004
AL,Madison,MadisonAL,38102,11.38028775,2019,372909
AK,Skagway,SkagwayAK,215,22.2107438,2010,968
AK,Skagway,SkagwayAK,215,22.2107438,2011,962
AK,Skagway,SkagwayAK,215,22.2107438,2012,998
AK,Skagway,SkagwayAK,215,22.2107438,2013,1026
