Year,CountyID,State,County,Home Ownership (%)
2009,AdaID2009,ID,Ada,73.16795124
2010,AdaID2010,ID,Ada,72.44822227
2011,AdaID2011,ID,Ada,71.26732345
2012,AdaID2012,ID,Ada,69.81928925
2013,AdaID2013,ID,Ada,69.4841294
2014,AdaID2014,ID,Ada,68.50050419
2015,AdaID2015,ID,Ada,68.4074553
2016,AdaID2016,ID,Ada,68.92256408
2017,AdaID2017,ID,Ada,70.08922405
2018,AdaID2018,ID,Ada,70.92194854
2019,AdaID2019,ID,Ada,71.76863305
2009,AustinTX2009,TX,Austin,80.18062273
2010,AustinTX2010,TX,Austin,79.23867942
2011,AustinTX2011,TX,Austin,77.76662844
2012,AustinTX2012,TX,Austin,76.07165707
2013,AustinTX2013,TX,Austin,76.15300469
2014,AustinTX2014,TX,Austin,75.24669031
2015,AustinTX2015,TX,Austin,72.96098362
2016,AustinTX2016,TX,Austin,72.29504786
2017,AustinTX2017,TX,Austin,74.10892796
2018,AustinTX2018,TX,Austin,75.91081367
2019,AustinTX2019,TX,Austin,75.23486519
2009,BernalilloNM2009,NM,Bernalillo,67.71325341
2010,BernalilloNM2010,NM,Bernalillo,67.73511181
2011,BernalilloNM2011,NM,Bernalillo,67.68888517
2012,BernalilloNM2012,NM,Bernalillo,66.58625608
2013,BernalilloNM2013,NM,Bernalillo,65.88008361
2014,BernalilloNM2014,NM,Bernalillo,64.77779121
2015,BernalilloNM2015,NM,Bernalillo,64.43916562
2016,BernalilloNM2016,NM,Bernalillo,64.16747253
2017,BernalilloNM2017,NM,Bernalillo,64.98568842
2018,BernalilloNM2018,NM,Bernalillo,65.10939344
2019,BernalilloNM2019,NM,Bernalillo,65.32705754
2009,BexarTX2009,TX,Bexar,66.63265643
2010,BexarTX2010,TX,Bexar,66.48725728
2011,BexarTX2011,TX,Bexar,65.61371934
2012,BexarTX2012,TX,Bexar,64.37127083
2013,BexarTX2013,TX,Bexar,63.02912796
2014,BexarTX2014,TX,Bexar,62.1322645
2015,BexarTX2015,TX,Bexar,61.63804045
2016,BexarTX2016,TX,Bexar,61.45870916
2017,BexarTX2017,TX,Bexar,62.28364922
2018,BexarTX2018,TX,Bexar,62.61885171
2019,BexarTX2019,TX,Bexar,62.44344621
2009,ClackamasOR2009,OR,Clackamas,74.99001798
2010,ClackamasOR2010,OR,Clackamas,74.27056497
2011,ClackamasOR2011,OR,Clackamas,73.82550517
2012,ClackamasOR2012,OR,Clackamas,72.65971348
2013,ClackamasOR2013,OR,Clackamas,71.41654132
2014,ClackamasOR2014,OR,Clackamas,70.59384389
2015,ClackamasOR2015,OR,Clackamas,70.68031945
2016,ClackamasOR2016,OR,Clackamas,71.35787605
2017,ClackamasOR2017,OR,Clackamas,72.37335362
2018,ClackamasOR2018,OR,Clackamas,73.51328532
2019,ClackamasOR2019,OR,Clackamas,74.46538472
2009,ClarkNV2009,NV,Clark,60.08764896
2010,ClarkNV2010,NV,Clark,59.08973058
2011,ClarkNV2011,NV,Clark,57.54901164
2012,ClarkNV2012,NV,Clark,55.82997573
2013,ClarkNV2013,NV,Clark,54.65777105
2014,ClarkNV2014,NV,Clark,53.26003593
2015,ClarkNV2015,NV,Clark,52.65056406
2016,ClarkNV2016,NV,Clark,52.38214072
2017,ClarkNV2017,NV,Clark,53.30232901
2018,ClarkNV2018,NV,Clark,54.13620848
2019,ClarkNV2019,NV,Clark,55.08266053
2009,ClarkWA2009,WA,Clark,71.17749372
2010,ClarkWA2010,WA,Clark,69.79728364
2011,ClarkWA2011,WA,Clark,69.11822429
2012,ClarkWA2012,WA,Clark,67.78666579
2013,ClarkWA2013,WA,Clark,66.39727547
2014,ClarkWA2014,WA,Clark,66.13622087
2015,ClarkWA2015,WA,Clark,65.3333182
2016,ClarkWA2016,WA,Clark,66.00240289
2017,ClarkWA2017,WA,Clark,67.12073798
2018,ClarkWA2018,WA,Clark,67.81658281
2019,ClarkWA2019,WA,Clark,68.34626232
2009,CollinTX2009,TX,Collin,76.61674637
2010,CollinTX2010,TX,Collin,76.30730374
2011,CollinTX2011,TX,Collin,75.55584482
2012,CollinTX2012,TX,Collin,74.52423071
2013,CollinTX2013,TX,Collin,73.16553355
2014,CollinTX2014,TX,Collin,72.07620904
2015,CollinTX2015,TX,Collin,71.17967759
2016,CollinTX2016,TX,Collin,70.96022925
2017,CollinTX2017,TX,Collin,70.3305884
2018,CollinTX2018,TX,Collin,70.34463334
2019,CollinTX2019,TX,Collin,69.69110894
2009,ComalTX2009,TX,Comal,78.70434385
2010,ComalTX2010,TX,Comal,76.86190731
2011,ComalTX2011,TX,Comal,76.05169043
2012,ComalTX2012,TX,Comal,76.92521752
2013,ComalTX2013,TX,Comal,76.44942888
2014,ComalTX2014,TX,Comal,75.85764976
2015,ComalTX2015,TX,Comal,75.88347942
2016,ComalTX2016,TX,Comal,75.1027503
2017,ComalTX2017,TX,Comal,75.57024638
2018,ComalTX2018,TX,Comal,76.46896428
2019,ComalTX2019,TX,Comal,77.16446367
2009,CookIL2009,IL,Cook,64.13673003
2010,CookIL2010,IL,Cook,63.64133827
2011,CookIL2011,IL,Cook,62.91608481
2012,CookIL2012,IL,Cook,62.00199081
2013,CookIL2013,IL,Cook,61.37574207
2014,CookIL2014,IL,Cook,60.58980295
2015,CookIL2015,IL,Cook,60.06848722
2016,CookIL2016,IL,Cook,59.8657003
2017,CookIL2017,IL,Cook,60.14274792
2018,CookIL2018,IL,Cook,60.33111867
2019,CookIL2019,IL,Cook,60.7279429
2009,DallasTX2009,TX,Dallas,58.09910244
2010,DallasTX2010,TX,Dallas,57.8403852
2011,DallasTX2011,TX,Dallas,57.10661904
2012,DallasTX2012,TX,Dallas,56.18209307
2013,DallasTX2013,TX,Dallas,55.56418556
2014,DallasTX2014,TX,Dallas,55.13330744
2015,DallasTX2015,TX,Dallas,54.43017706
2016,DallasTX2016,TX,Dallas,53.98550622
2017,DallasTX2017,TX,Dallas,54.02958031
2018,DallasTX2018,TX,Dallas,53.76680495
2019,DallasTX2019,TX,Dallas,53.77698749
2009,DenverCO2009,CO,Denver,56.80240037
2010,DenverCO2010,CO,Denver,55.7799177
2011,DenverCO2011,CO,Denver,54.61340251
2012,DenverCO2012,CO,Denver,53.00211628
2013,DenverCO2013,CO,Denver,52.80786191
2014,DenverCO2014,CO,Denver,52.39302443
2015,DenverCO2015,CO,Denver,51.97343741
2016,DenverCO2016,CO,Denver,51.90595793
2017,DenverCO2017,CO,Denver,52.95028131
2018,DenverCO2018,CO,Denver,52.86751029
2019,DenverCO2019,CO,Denver,53.74942292
2009,ElPasoCO2009,CO,ElPaso,70.13153904
2010,ElPasoCO2010,CO,ElPaso,69.26829185
2011,ElPasoCO2011,CO,ElPaso,67.9928655
2012,ElPasoCO2012,CO,ElPaso,66.42853599
2013,ElPasoCO2013,CO,ElPaso,65.27876435
2014,ElPasoCO2014,CO,ElPaso,64.55067384
2015,ElPasoCO2015,CO,ElPaso,63.9806061
2016,ElPasoCO2016,CO,ElPaso,64.25213959
