Table 7. Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2019,,,,,,,,,,
,2015,2016,2017,2018,2019,,,,,
"Akron, OH ................................................................................................................",0.5,0.6,0.5,0.1,1.3,,,,,
"Albany-Schenectady-Troy, NY .....................................................................",1.8,2.1,2.1,1.7,3.0,,,,,
"Albuquerque, NM...................................................................................................",2.7,1.9,2.1,1.8,1.9,,,,,
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",1.7,1.1,1.7,0.9,1.4,,,,,
"Atlanta-Sandy Springs-Roswell, GA1....................................................",2.2,1.6,1.0,1.1,1.3,,,,,
"Austin-Round Rock, TX.....................................................................................................",1.3,1.0,2.0,1.2,1.8,,,,,
"Baltimore-Columbia-Towson, MD2.....................................................................................................",2.9,2.8,2.5,1.6,2.3,,,,,
"Baton Rouge, LA……………………………………….",1.6,1.5,1.0,1.4,1.9,,,,,
"Birmingham-Hoover, AL......................................................................................................",2.2,2.1,2.0,1.8,1.5,,,,,
"Boston-Cambridge-Newton, MA-NH3...................................................................................",1.1,0.9,0.6,1.0,0.8,,,,,
"Bridgeport-Stamford-Norwalk, CT.....................................................................",1.8,2.3,1.0,1.6,1.8,,,,,
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",2.5,1.2,3.3,2.1,1.2,,,,,
"Cape Coral-Fort Myers, FL...................................................................................",2.8,3.0,2.9,3.0,2.3,,,,,
"Charleston-North Charleston-Summerville, SC....................................................................................................",2.2,2.4,1.6,3.4,2.2,,,,,
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",1.8,1.1,0.8,1.7,1.8,,,,,
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",2.3,2.3,1.8,1.6,1.5,,,,,
"Cincinnati, OH-KY-IN7............................................................................................",2.2,1.4,1.9,1.5,1.1,,,,,
"Cleveland-Elyria, OH8..............................................................................................",1.4,1.7,1.2,0.9,1.1,,,,,
"Columbia, SC………………………………………….",2.2,0.9,2.4,1.9,1.5,,,,,
"Columbus, OH............................................................................................................................................",1.5,1.0,1.1,1.5,0.8,,,,,
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",1.4,1.4,0.8,1.4,1.5,,,,,
"Dayton, OH...........................................................................................................................................................",2.3,3.3,3.7,1.0,2.3,,,,,
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",0.7,1.1,0.7,0.9,1.0,,,,,
"Detroit-Warren-Dearborn, MI10....................................................................................................................",1.1,0.6,0.4,1.0,1.3,,,,,
"Fresno, CA………………………………………………",0.9,0.8,1.1,1.2,1.3,,,,,
"Grand Rapids-Wyoming, MI....................................................................................................................................",0.9,0.5,1.1,0.3,0.5,,,,,
"Greensboro-High Point, NC............................................................................................................................",4.7,1.7,1.2,1.0,0.7,,,,,
"Hartford-West Hartford-East Hartford, CT................................................................................",1.5,1.7,1.4,1.9,0.8,,,,,
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",1.5,1.8,1.5,2.0,1.9,,,,,
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",1.0,1.4,1.5,1.5,1.5,,,,,
"Jacksonville, FL..........................................................................................................................................",2.0,1.6,1.5,1.3,1.0,,,,,
"Kansas City, MO-KS.............................................................................................................................................",1.3,0.8,0.8,1.2,1.4,,,,,
"Knoxville, TN.............................................................................................................................................",2.3,1.7,0.6,1.6,1.3,,,,,
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",2.3,2.0,2.4,0.9,2.0,,,,,
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",3.0,2.4,2.0,1.8,1.7,,,,,
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",0.8,0.8,0.9,1.2,1.1,,,,,
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",1.8,1.5,0.6,1.4,0.7,,,,,
"Memphis, TN-AR-MS.............................................................................................................................................",1.4,1.4,1.4,1.6,1.4,,,,,
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",1.4,1.4,1.9,1.9,1.8,,,,,
