Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2019,,,,,,,,,,
,2015,2016,2017,2018,2019,,,,,
"Akron, OH ................................................................................................................",74.0,74.9,67.5,65.6,70.8,,,,,
"Albany-Schenectady-Troy, NY .....................................................................",65.9,61.3,64.1,62.2,61.2,,,,,
"Albuquerque, NM...................................................................................................",64.3,66.9,67.0,67.9,70.0,,,,,
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",69.2,68.9,73.1,72.1,67.8,,,,,
"Atlanta-Sandy Springs-Roswell, GA1....................................................",61.7,61.5,62.4,64.0,64.2,,,,,
"Austin-Round Rock, TX.....................................................................................................",57.5,56.5,55.6,56.1,59.0,,,,,
"Baltimore-Columbia-Towson, MD2.....................................................................................................",65.3,68.5,67.5,63.5,66.5,,,,,
"Baton Rouge, LA……………………………………….",64.2,64.8,66.9,66.6,66.2,,,,,
"Birmingham-Hoover, AL......................................................................................................",71.3,68.7,70.6,65.9,66.7,,,,,
"Boston-Cambridge-Newton, MA-NH3...................................................................................",59.3,58.9,58.8,61.0,60.9,,,,,
"Bridgeport-Stamford-Norwalk, CT.....................................................................",66.6,65.9,67.3,61.3,62.7,,,,,
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",63.9,62.6,62.4,63.1,66.5,,,,,
"Cape Coral-Fort Myers, FL...................................................................................",62.9,66.5,65.5,75.1,72.0,,,,,
"Charleston-North Charleston-Summerville, SC....................................................................................................",65.8,62.1,67.7,68.8,70.7,,,,,
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",62.3,66.2,64.6,67.9,72.3,,,,,
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",64.3,64.5,64.1,64.6,63.4,,,,,
"Cincinnati, OH-KY-IN7............................................................................................",65.9,64.9,65.7,67.3,67.4,,,,,
"Cleveland-Elyria, OH8..............................................................................................",68.4,64.8,66.6,66.7,64.4,,,,,
"Columbia, SC………………………………………….",66.1,63.9,70.7,69.3,65.9,,,,,
"Columbus, OH............................................................................................................................................",59.0,57.5,57.9,64.8,65.7,,,,,
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",57.8,59.7,61.8,62.0,60.6,,,,,
"Dayton, OH...........................................................................................................................................................",60.8,66.0,63.5,64.8,66.4,,,,,
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",61.6,61.6,59.3,60.1,63.5,,,,,
"Detroit-Warren-Dearborn, MI10....................................................................................................................",74.0,71.6,70.2,70.9,70.2,,,,,
"Fresno, CA………………………………………………",58.9,56.0,48.5,49.6,49.3,,,,,
"Grand Rapids-Wyoming, MI....................................................................................................................................",75.8,76.2,71.7,73.0,75.2,,,,,
"Greensboro-High Point, NC............................................................................................................................",65.4,62.9,61.9,63.2,61.7,,,,,
"Hartford-West Hartford-East Hartford, CT................................................................................",66.1,63.7,66.5,65.1,62.8,,,,,
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",60.3,59.0,58.9,60.1,61.3,,,,,
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",64.6,63.9,63.9,64.3,66.2,,,,,
"Jacksonville, FL..........................................................................................................................................",62.5,61.8,65.2,61.4,63.1,,,,,
"Kansas City, MO-KS.............................................................................................................................................",65.0,62.4,62.4,64.3,65.0,,,,,
"Knoxville, TN.............................................................................................................................................",70.5,68.4,65.8,68.5,68.7,,,,,
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",52.1,51.3,54.4,58.1,56.0,,,,,
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",65.8,64.9,61.0,62.2,65.0,,,,,
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",49.1,47.1,49.1,49.5,48.2,,,,,
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",67.7,67.6,71.7,67.9,64.9,,,,,
"Memphis, TN-AR-MS.............................................................................................................................................",59.6,61.8,62.4,63.5,63.7,,,,,
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",58.6,58.4,57.9,59.9,60.4,,,,,
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",57.0,60.4,63.9,62.3,56.9,,,,,
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",67.9,69.1,70.1,67.8,70.2,,,,,
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",67.4,65.0,69.4,68.3,69.8,,,,,
"New Haven-Milford, CT..............................................................................................................................................................",64.6,59.4,58.7,65.0,65.1,,,,,
"New Orleans-Metairie, LA.18....................................................................................................................................",62.8,59.3,61.7,62.6,61.1,,,,,
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",49.9,50.4,49.9,49.7,50.4,,,,,
"North Port-Bradenton-Sarasota, FL.......................................................................................................",71.3,73.4,65.0,62.7,73.9,,,,,
"Oklahoma City, OK.............................................................................................................................................................................",61.4,63.1,64.7,64.6,64.3,,,,,
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",69.6,69.2,65.5,67.8,66.9,,,,,
"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",58.4,58.5,59.5,58.5,56.1,,,,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",67.0,64.7,65.6,67.4,67.4,,,,,
"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",61.0,62.6,64.0,65.3,65.9,,,,,
"Pittsburgh, PA.....................................................................................................................................................................................................",71.0,72.2,72.7,71.7,71.5,,,,,
"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",58.9,61.8,61.1,59.2,60.0,,,,,
"Providence-Warwick, RI-MA23.........................................................................................................................",60.0,57.5,58.6,61.3,63.5,,,,,
"Raleigh, NC24............................................................................................................................................................................",67.4,65.9,68.2,64.9,63.0,,,,,
"Richmond, VA.........................................................................................................................................................................",67.4,61.7,63.1,62.9,66.4,,,,,
"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",61.1,62.9,59.9,62.3,64.4,,,,,
"Rochester, NY...........................................................................................................................................................................................",64.9,58.0,63.1,62.5,65.3,,,,,
"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",60.8,60.5,60.1,64.1,61.6,,,,,
"St. Louis, MO-IL..................................................................................................................................................................................",68.7,66.4,65.6,65.8,68.1,,,,,
"Salt Lake City, UT....................................................................................................................................................................",69.1,69.2,68.1,69.5,69.2,,,,,
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",66.0,61.6,62.5,64.4,62.6,,,,,
"San Diego-Carlsbad, CA27.................................................................................................................................",51.8,53.3,56.0,56.1,56.7,,,,,
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",56.3,55.8,55.7,55.6,52.8,,,,,
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",50.7,49.9,50.4,50.4,52.4,,,,,
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",59.5,57.7,59.5,62.5,61.5,,,,,
"Syracuse, NY………………………………………….",62.8,61.0,63.1,66.6,67.2,,,,,
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",64.9,62.9,60.4,64.9,68.0,,,,,
"Toledo, OH………………………………………………..",63.0,62.6,62.1,65.1,70.0,,,,,
"Tucson, AZ ..........................................................................................................................................................................................................",61.4,56.0,60.1,63.8,60.1,,,,,
"Tulsa, OK....................................................................................................................................................................................................",65.2,65.4,66.8,68.3,70.5,,,,,
"Urban Honolulu, HI29..................................................................................................................................",59.6,57.9,53.8,57.7,59.0,,,,,
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",59.4,59.6,65.3,62.8,63.0,,,,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",64.6,63.1,63.3,62.9,64.7,,,,,
"Worcester, MA.........................................................................................................................................................................................",64.2,65.5,64.9,63.4,62.7,,,,,
,,,,,,,,,,
