Year,Bethel Census Area/AK,Denali Borough/AK,Kusilvak Census Area/AK,Matanuska-Susitna Borough/AK,Skagway Municipality/AK, Baldwin County/AL,Lee County/AL,Limestone County/AL,Madison County/AL,Shelby County/AL,Benton County/AR,Craighead County/AR,Faulkner County/AR,Saline County/AR,Washington County/AR,Greenlee County/AZ,Maricopa County/AZ,Pinal County/AZ,Yavapai County/AZ,Yuma County/AZ,Alameda County/CA,Costa County/CA,Placer County/CA,Riverside County/CA,SanBernardino County/CA,SanFrancisco County/CA,SanJoaquin County/CA,Yolo County/CA,Broomfield County/CO,Custer County/CO,Denver County/CO,Douglas County/CO,Weld County/CO,Fairfield County/CT,Hartford County/CT,NewHaven County/CT,Tolland County/CT,Windham County/CT,Kent County/DE,Castle County/DE,Sussex County/DE,Manatee County/FL,Osceola County/FL,StJohns County/FL,Sumter County/FL,Sumter County/FL,Bryan CountyGA,Columbia County/GA,Effingham County/GA,Forsyth County/GA,Long County/GA,Oconee County/GA,Hawaii County/HI,Honolulu County/HI,Kauai County/HI,Maui County/HI,Dallas County/IA,Jefferson County/IA,Johnson County/IA,Polk County/IA,Warren County/IA,Ada County/ID,Canyon County/ID,Kootenai County/ID,Teton County/ID,Valley County/ID,Champaign County/IL,Grundy County/IL,Kane County/IL,Kendall County/IL,Monroe County/IL,Boone County/IN,Hamilton County/IN,Hendricks County/IN,Johnson County/IN,Tippecanoe County/IN,Douglas County/KS,Johnson County/KS,Leavenworth County/KS,Pottawatomie County/KS,Wyandotte County/KS,Boone County/KY,Scott County/KY,Shelby County/KY,Spencer County/KY,Warren County/KY,Ascension Parish/LA,Orleans Parish/LA,StBernard Parish/LA,StTammany Parish/LA,Tangipahoa Parish/LA,Essex County/MA,Middlesex County/MA,Nantucket County/MA,Norfolk County/MA,Suffolk County/MA,Charles County/MD,Frederick County/MD,Howard County/MD,Montgomery County/MD,StMarys County/MD,Cumberland County/ME,Hancock County/ME,Sagadahoc County/ME,Waldo County/ME,York County/ME,GrandTraverse County/MI,Kent County/MI,Livingston County/MI,Ottawa County/MI,Washtenaw County/MI,Carver County/MN,Scott County/MN,Sherburne County/MN,Washington County/MN,Wright County/MN,Christian County/MO,Clay County/MO,Lincoln County/MO,Platte County/MO,StLouis County/MO,DeSoto County/MS,Harrison County/MS,Lafayette County/MS,Lamar County/MS,Madison County/MS,Broadwater County/MT,Flathead County/MT,Gallatin County/MT,Madison County/MT,Richland County/MT,Brunswick County/NC,Cabarrus County/NC,Johnston County/NC,Pender County/NC,Wake County/NC,Dunn County/ND,McKenzie County/ND,Mountrail County/ND,Stark County/ND,Williams County/ND,Douglas County/NE,Lancaster County/NE,Sarpy County/NE,Carroll County/NH,Hillsborough County/NH,Merrimack County/NH,Rockingham County/NH,Strafford County/NH,Bergen County/NJ,Essex County/NJ,Hudson County/NJ,Ocean County/NJ,Union County/NJ,Eddy County/NM,Lea County/NM,Alamos CountyNM,Otero County/NM,Sandoval County/NM,Clark County/NV,Elko County/NV,Lyon County/NV,Washoe County/NV,Bronx County/NY,Kings County/NY,NewYork County/NY,Orange County/NY,Rockland County/NY,Saratoga County/NY,Delaware County/OH,Fairfield County/OH,Franklin County/OH,Union County/OH,Warren County/OH,Bryan County/OK,Canadian County/OK,Logan County/OK,McClain County/OK,Wagoner County/OK,Crook County/OR,Deschutes County/OR,Jefferson County/OR,Polk County/OR,Washington County/OR,Centre County/PA,Chester County/PA,Cumberland County/PA,Lebanon County/PA,Lehigh County/PA,Kent County/RI,Providence County/RI,Washington County/RI,Berkeley County/SC,Horry County/SC,Jasper County/SC,Lancaster County/SC,York County/SC,Lake County/SD,Lincoln County/SD,Meade County/SD,Minnehaha County/SD,Pennington County/SD,Montgomery County/TN,Rutherford County/TN,Trousdale County/TN,Williamson County/TN,Wilson County/TN,Comal County/TX,FortBend County/TX,Hays County/TX,Hudspeth County/TX,Kendall County/TX,Loving County/TX,Williamson County/TX,Morgan County/UT,Tooele County/UT,Utah County/UT,Wasatch County/UT,Washington County/UT,Loudoun County/VA,NewKent County/VA,FallsChurch City/VA,Fredericksburg City/VA,Manassas Park/VA,Addison County/VT,Chittenden County/VT,GrandIsle County/VT,Lamoille County/VT,Benton County/WA,King County/WA,Kittitas County/WA,Snohomish County/WA,Brown County/WI,Dane County/WI,Menominee County/WI,Outagamie County/WI,StCroix County/WI,Berkeley County/WV,Doddridge County/WV,Jefferson County/WV,Monongalia County/WV,Morgan County/WV,Albany County/WY,Crook County/WY,Laramie County/WY,Lincoln/WY,Teton/WY
2009,41810,62615,,70442,63947,48637,37836,46610,57327,65408,49226,39526,48390,52630,41098,56855,53284,49088,40837,38251,68258,75084,70751,55151,52137,70247,52201,56120,77606,45898,46693,100447,54578,78892,61962,60388,78471,56342,50884,62051,50024,45565,42626,62180,46586,42854,58092,68986,54678,84567,37358,74630,50739,67019,55723,58167,71854,41523,48955,54948,60253,53828,39457,47196,57999,47457,42101,63349,66604,82835,71342,66166,76878,67011,57634,41917,44309,72006,57691,54949,37341,67994,58595,51439,63218,43316,60995,35243,36660,58868,37238,62758,77672,68746,79548,53751,85899,82598,101417,93774,71316,52459,48018,54754,40423,54134,49076,47684,68514,52107,54939,76554,84128,71728,75421,67171,51476,57983,50795,65877,56939,55160,42337,41554,49407,55490,42823,45594,47065,41345,50014,44891,52988,49501,43261,63770,44681,49465,49884,51385,53958,49944,47915,67541,49066,64455,61439,70196,55415,80604,53712,55767,59456,64588,47117,44035,106148,35557,57378,53512,62091,51151,53036,32888,42932,68295,68057,78218,66634,84762,52290,47460,63122,68798,35502,64492,48012,50936,55948,42342,51959,38132,53874,61022,47966,81380,58116,50334,52680,58364,47432,66705,49609,41163,35163,40286,50644,45322,72894,44568,48443,46972,46523,53983,38985,87474,60616,62642,80548,53113,27053,72094,49903,69862,75164,56053,57471,61609,46596,114200,68570,106042,44211,70852,52135,60182,51993,50955,57603,67706,41563,64677,50926,58002,30648,55106,67049,51243,32803,58859,35331,38804,40772,50581,50441,59160,68777
2010,45481,61004,,68670,58550,47618,40102,49667,54633,67135,52417,37780,46199,53430,39692,49592,50424,49833,40562,40609,66937,73678,68330,53981,52270,70883,49742,54433,76006,42951,45415,97806,52334,74634,60028,57070,74868,56564,51490,59877,48582,44990,42165,60841,45165,44622,65478,64435,60017,81629,38243,76298,46444,67519,52714,56206,68568,40158,51014,54328,62036,50909,42419,43826,52272,45248,45803,60130,65430,79542,69731,66023,82054,66080,58695,41722,47335,71389,60848,52861,37805,64005,56791,51845,62579,41001,62069,36525,38700,59389,37454,61604,75364,67969,79899,49584,83078,80216,100992,88559,81559,57424,41106,52071,37986,54076,47442,47897,65729,53454,56177,81935,78307,69699,77591,66714,48041,55835,50307,67791,55290,58979,41522,38725,49742,57089,40730,42278,49354,42174,49444,44186,49355,46922,43573,61594,49682,51641,49694,49736,56689,50270,50197,69501,48236,67650,60932,73402,52527,77059,52288,53547,56924,65937,43240,43171,105987,36628,52778,51427,66210,47108,50839,32674,42047,63188,65512,79798,65508,85628,55805,47621,63233,67172,36925,57018,49006,51767,56216,39867,46631,40888,49504,60555,45154,83829,56288,51142,51426,54665,45572,67195,49284,40697,35533,38312,51403,46388,74100,48120,49954,45999,47258,51815,35824,82273,56270,61573,76758,57051,26993,68301,50188,66152,71484,60541,54385,61593,48247,119075,67979,105124,43460,67948,51967,56016,54907,47994,59409,66147,40376,63391,51330,58958,31509,55556,64990,50923,34444,63156,42247,40636,40430,53961,50278,58175,68358
2011,43314,68899,,68999,61025,50144,42539,46760,55298,66362,52644,39410,49314,54372,39230,51145,50785,45170,41437,37894,67295,74241,69581,52491,51017,69354,50376,50174,79051,45791,47584,95973,51773,77065,60947,58985,77124,54911,51045,63087,51060,43494,40933,63299,44595,44763,63092,62717,59502,85137,35244,71707,46186,65489,56937,57789,72146,39743,53570,56091,62688,50701,39132,47026,51561,46210,42847,63685,66133,82934,71766,63717,84939,64239,61477,43339,47930,70665,61567,53339,38016,64055,58164,51021,62347,40026,63305,34851,38068,57694,38420,64303,76803,68431,81590,49033,88575,77872,99040,92288,80943,55459,44599,52187,41888,55725,46786,50651,68895,54461,56789,85314,81586,68646,77069,68387,50426,59039,50523,63676,55131,54495,39046,39853,49250,55692,44183,44006,50042,42799,55593,42685,50298,48380,44171,62436,55353,59000,52930,55492,67492,51741,49046,65801,45582,66275,64482,75285,54783,79037,51021,55133,56851,65178,46212,46176,110204,35894,53948,48343,62937,44877,50910,32137,42437,65833,65648,80765,64298,86980,58829,47174,64403,70245,34276,60225,48346,54633,52717,37473,47924,40910,52277,62463,47222,79508,58722,53625,50737,59880,46385,68539,49516,38807,34927,40372,51017,49893,76907,50985,51431,48083,47684,52586,38541,90207,59769,59754,82147,56557,28624,71388,46204,70276,74509,61719,58077,56379,46001,119525,69885,117481,50522,71976,54542,60865,56241,46549,61539,68596,41823,63766,52744,60489,30156,56901,64490,51029,35261,59280,43447,40762,45651,55294,53839,60062,69095
2012,41722,66325,,68109,65379,48867,43182,49616,57072,67244,52717,42437,49843,57787,41856,53312,51442,50362,43397,39072,70209,74208,69521,52416,50603,72093,50431,51040,81040,46744,50455,98426,55332,79536,63374,59217,75048,54221,51695,62086,48684,46999,42743,62112,47017,40239,61561,69582,62568,87380,39176,75532,49048,70779,55614,59281,73052,40921,52934,57942,63310,54337,41700,46886,54231,46314,46708,63167,64870,84816,72265,69919,88429,70886,61671,43529,48813,73712,59662,56891,37780,66085,63063,56021,65038,42514,65271,33948,40900,58383,36573,67408,81924,70286,80192,50884,89203,80427,108234,94365,85478,55456,45564,51168,39917,52663,51030,50674,75744,55158,56618,85064,86324,69865,80647,72216,52413,58151,53542,67299,56409,55011,40782,40696,48057,60387,45833,45742,51394,41367,56492,48624,55531,48773,43318,64107,62424,67995,59583,63886,79265,51189,50478,68118,50495,68150,59186,76285,53575,82001,51019,56087,59022,64698,48001,48028,112115,38764,57376,49583,68759,48035,49449,32510,44850,66739,65761,81517,66677,87470,58884,50053,63378,73598,37157,62984,51642,54495,54839,41232,48591,41426,49636,63566,50088,82456,57982,51490,53457,59682,47601,69150,49872,40249,35692,43479,51427,50089,78360,51427,48932,49033,48267,53566,41823,93003,57676,59081,86037,55819,30043,68975,41252,71272,75348,61927,58167,62014,45305,118934,68862,121250,47297,68970,55120,62374,54915,49256,58361,68944,43649,67068,51100,60119,33925,58058,69436,52672,34753,62924,41503,41087,39248,53781,53999,60817,66592
2013,42876,68103,,72371,63930,47539,44647,50148,58258,68718,56518,41608,49936,54921,43302,54673,52066,49887,40486,40498,72128,78909,73643,53909,52112,76933,51219,55011,79117,47268,51156,105192,58404,81816,63491,58672,73660,55948,53811,63033,50207,48066,41592,66312,52670,45357,66066,72531,61062,87565,41147,72478,47377,72649,55844,62277,79309,41942,53204,59388,66328,53420,42237,51681,52650,48879,46917,68474,71444,79648,71604,68047,84022,68575,58936,47808,51221,74135,65424,59856,38728,65274,61906,56808,66711,48137,70303,36240,40705,61655,40228,67235,82118,71259,83830,54164,87577,83489,108503,97873,78274,55020,44463,52279,43203,55163,50755,51997,71075,57994,59965,86759,85481,74915,81052,71999,51394,60641,54144,68411,59284,59043,41657,40749,51337,64657,46246,46885,56680,44046,64171,47799,55046,50904,44949,65433,69914,75699,65546,69566,84237,51959,52275,67740,50598,67162,64068,74785,59290,81615,53358,55699,59888,64272,49865,53556,110930,41960,56190,51071,71354,46526,53565,33079,47067,71443,68249,80132,69917,89016,56697,51456,68650,75041,36601,63889,57490,57784,53098,43343,49427,41107,51224,63632,52559,83775,60134,54952,53722,63232,47642,69267,50794,41808,34852,40837,54927,53116,78567,50711,52382,48886,51059,57056,41286,93241,59655,70322,87901,59260,31354,75860,44407,71252,83496,59400,60069,64423,50378,117680,72150,117452,48152,71742,54683,62618,57559,46742,59264,71779,47287,67443,51956,60326,32769,57124,69641,54010,39399,64916,47281,42719,42443,59490,59712,67256,70201
2014,45808,69692,,73981,69170,49626,41256,51175,58833,69432,57408,42851,51436,55915,45589,59416,53929,49876,44145,39700,76996,80338,75689,56877,51951,83788,51527,54509,85885,48368,54872,107250,61501,85336,65809,60387,78653,57547,54271,64632,53316,51673,42945,66560,51907,46867,66556,68067,61195,86413,43193,80631,51887,73985,58883,64916,79173,41094,59946,61028,67342,57908,43489,49061,57644,49380,47966,70092,72131,90640,73684,68352,89861,70358,58833,46276,49246,76104,65549,65373,37087,66939,61989,57447,67437,48925,67299,35468,45615,63441,39927,70074,84026,82596,90039,54280,86703,83698,106871,97279,84686,61436,45807,55630,46598,55482,55592,53342,74341,60577,62861,88500,91688,76512,84113,76489,51831,61598,53804,70874,60093,58479,41010,40797,51389,66671,49758,47351,51569,41539,65738,47387,55250,50055,45453,66950,72018,81209,66807,76672,86354,52842,52011,74008,57556,71233,62429,79653,58577,84309,54603,57720,62937,68172,57007,58994,108477,41736,56142,51241,72648,48576,52862,33687,47547,75459,69228,83162,71885,97802,59921,53164,69900,72973,38187,68421,55602,58392,58921,38155,52387,42753,52626,66315,51573,85613,62692,53861,58283,61923,47278,70705,52436,42830,37715,44854,54196,53175,79857,54771,55107,48379,50935,53799,40251,97936,60955,64533,88516,59569,32086,77764,55819,73098,82597,64193,60957,65207,50169,122641,72406,125635,51195,73065,59089,61908,60081,49142,58750,75738,48127,71890,54141,61937,36774,59377,75920,56737,41838,66950,43835,44446,42838,59701,57192,63575,75348
2015,44849,73000,33511,76601,65878,52387,46442,55060,59117,70879,60294,42460,51157,56926,46418,58854,56017,50888,47220,40426,81462,83036,76203,57895,53526,90527,53341,58766,86548,43995,57886,109926,69434,86297,69260,61758,81616,61303,55678,66179,54309,50728,45127,71896,54592,47875,69650,75232,63255,97886,42542,76371,54914,76544,70122,68684,81381,43495,57706,60436,67728,58431,44585,48864,58013,51774,50813,71928,70502,88773,79686,75163,91844,73478,68256,50170,52447,83007,61465,60601,41746,68804,63775,60189,68147,45964,74852,38640,41540,63499,41768,68237,90025,86014,93187,56530,87941,83746,110224,98314,83148,63191,48601,55645,43198,61340,54874,54550,76934,61429,62401,93857,92898,79495,88329,76407,54044,65106,54584,72548,61569,60610,42370,43435,53205,67482,51360,48063,57358,49872,68196,48831,57881,52681,49390,70629,73135,82906,65606,76844,89860,58405,54422,73856,54351,73474,68148,87103,60931,88512,52206,60053,63478,70581,60407,54686,107126,38381,62833,51624,76518,51934,56457,35102,51026,75136,71162,84249,75029,97679,61450,53939,76116,81383,40875,63291,57892,56700,57948,45046,56911,42325,55342,70417,55084,90555,63926,52829,56352,65332,50364,71951,55876,47083,37231,47279,57302,55300,77540,55515,55605,52217,49603,60022,47531,104367,65372,68362,95117,61121,33048,79108,59499,78531,81358,67938,65425,75112,54398,125900,79322,122092,50710,75429,58408,67112,68342,54076,62698,81816,47378,76053,56003,65416,33410,60649,74624,54217,41115,67821,46718,45628,44455,64851,59147,62364,83290
2016,46634,72378,34341,71793,65112,56460,47749,52181,61193,74212,64072,44091,50909,63618,46367,61110,58742,52642,49824,42998,89472,90920,85326,59951,56194,101873,59038,63645,86870,52021,61038,112399,63609,89954,69341,66012,81369,60869,53994,67246,56618,51770,50716,78544,56568,54686,77244,74908,63776,101804,44542,88570,54684,80012,63164,69699,82123,46617,58904,64169,74031,61571,48461,52019,60745,58738,51032,71969,73684,91952,83139,80634,92406,78464,67215,51385,55446,80872,67558,64704,43396,72942,64809,61700,71156,47253,74212,38418,39450,65861,44625,73503,94977,82324,92606,61367,93947,89541,119386,99604,80049,65475,53941,59271,48422,60520,57367,59649,79388,65004,66040,94057,91046,83304,90755,76256,54273,65973,56833,77933,62756,64138,42988,42287,57419,65870,50791,50249,60439,51252,65277,51457,63059,55174,50437,76173,67375,77733,63736,78604,81719,59226,58873,74374,56836,75997,69320,82016,69467,93205,54879,63157,62276,71801,57287,52213,114670,41995,58621,54455,70242,51344,58253,37355,54793,77214,71963,84358,75904,102990,65198,56090,78796,81543,39219,68291,54305,61730,61882,45350,61248,44943,55218,75577,59070,92551,64116,56971,60243,63762,52011,77000,58690,45608,41902,53421,61044,57473,84610,54976,60244,51508,55351,61232,44971,107942,70955,76296,90972,64864,35252,83805,64179,82370,85681,64675,69568,73077,54876,134609,84486,118035,53714,75994,59731,67833,65601,56207,63474,85907,50410,78582,58449,70815,36562,61764,75619,56966,40524,71315,49725,59573,47355,60953,61124,63907,84118
2017,45582,73220,31250,72296,66991,56607,51372,57342,62750,74098,64728,49355,51535,61384,50400,63557,62221,53114,49860,46013,95550,95062,81366,63776,60270,109601,60950,64900,91968,54080,64974,112386,68679,91170,70433,66764,75571,62606,57112,66839,61124,55189,49284,77022,57931,52922,73877,75832,68109,103083,48328,92216,56540,80947,74881,76376,90133,47907,61395,66112,76146,61469,47915,56921,63168,56532,51466,76214,75739,97039,83767,82670,95080,75647,70690,52858,56007,83516,70740,65956,46032,78163,67234,65054,80808,49966,72154,37407,44553,67926,44256,75309,97851,92347,100710,65999,94478,91727,111576,102944,82433,70661,51009,61047,54547,66025,59674,61146,82076,68816,70509,102511,99685,87094,92582,80805,58931,67666,67986,75651,64926,66125,46709,47899,57125,69820,54523,57389,61446,50248,63343,56227,62167,58647,52187,77641,67337,75408,64247,66925,80161,61706,59681,80842,58005,78171,70408,89049,68864,93805,60284,65673,70493,76830,52932,52358,118380,43338,56937,57217,76439,54588,61506,37377,56548,84133,77606,87873,82732,107676,67276,59214,86609,85532,41563,73878,60628,63787,59466,47940,65506,49616,56917,80845,56366,96803,69222,57389,60706,72765,55848,78599,57399,45979,40960,57667,62620,59743,89458,59563,61182,55104,57431,68082,49711,111427,70674,72562,91661,66525,39683,89637,65203,82131,96201,72198,70461,83344,55518,136191,89682,123923,56580,80482,59467,65851,61971,56965,64717,89519,56393,82405,61240,72385,36936,65945,82253,59071,44370,70203,50621,44448,44745,61664,61658,65137,90145
2018,44304,75477,32728,74649,74635,57588,48937,64863,63755,75663,68978,45615,53882,63677,50893,65818,65234,58848,48758,44116,101744,101463,89175,66793,63310,110601,63567,67804,96924,55242,68069,120670,75629,91183,73037,67720,89584,65182,54980,69562,59821,59587,50473,81925,55324,60973,79658,82184,65793,105921,46428,99497,56383,83695,73981,78503,87267,46715,64387,68479,78192,66827,53381,56188,68749,60285,53251,79348,79834,93345,88481,85876,101740,80834,69880,52269,57120,87087,70807,69975,47084,77696,73500,66056,85899,53478,77758,38855,43983,67054,47128,76373,100374,97525,100184,68743,92616,95196,116719,107758,89964,71586,52148,65969,49482,65984,64591,61675,84048,70420,72267,104248,101427,81850,95840,87377,58057,68943,62238,82567,66992,68126,45355,49381,58377,75740,52840,54382,67569,53031,67242,60163,69297,60296,54900,80169,66383,76224,67162,71888,79354,64580,58618,79358,59413,78714,74351,93645,69919,100181,62875,73337,68483,80737,58320,51656,124947,42701,57036,57155,79134,59732,63636,38566,60862,84610,75048,88960,83210,103536,67654,60383,84861,87391,43445,70942,69114,65831,62889,51348,67372,50376,62389,82819,58258,99224,71695,61087,62139,69089,56141,86715,62204,49082,43125,58035,64904,60733,84889,59524,60033,58738,56102,64170,49280,115930,76507,76523,92310,68180,42671,90937,78637,87817,98875,73584,75296,85380,57069,140382,90858,137551,58448,77032,68878,74240,67746,60230,69212,94822,55624,87096,62097,71789,40682,65993,82575,59619,44725,75027,51070,49487,47561,64053,63839,69598,99087
