Year,CountyID,State,County,Median Income
1989,Maricopa1989,AZ,Maricopa,30746
1990,Maricopa1990,AZ,Maricopa,.
1991,Maricopa1991,AZ,Maricopa,.
1992,Maricopa1992,AZ,Maricopa,.
1993,Maricopa1993,AZ,Maricopa,33916
1994,Maricopa1994,AZ,Maricopa,.
1995,Maricopa1995,AZ,Maricopa,37583
1996,Maricopa1996,AZ,Maricopa,.
1997,Maricopa1997,AZ,Maricopa,40134
1998,Maricopa1998,AZ,Maricopa,42192
1999,Maricopa1999,AZ,Maricopa,44054
2000,Maricopa2000,AZ,Maricopa,47024
2001,Maricopa2001,AZ,Maricopa,45921
2002,Maricopa2002,AZ,Maricopa,46038
2003,Maricopa2003,AZ,Maricopa,46376
2004,Maricopa2004,AZ,Maricopa,48304
2005,Maricopa2005,AZ,Maricopa,48752
2006,Maricopa2006,AZ,Maricopa,52522
2007,Maricopa2007,AZ,Maricopa,54733
2008,Maricopa2008,AZ,Maricopa,56511
2009,Maricopa2009,AZ,Maricopa,53284
2010,Maricopa2010,AZ,Maricopa,50424
2011,Maricopa2011,AZ,Maricopa,50785
2012,Maricopa2012,AZ,Maricopa,51442
2013,Maricopa2013,AZ,Maricopa,52066
2014,Maricopa2014,AZ,Maricopa,53929
2015,Maricopa2015,AZ,Maricopa,56017
2016,Maricopa2016,AZ,Maricopa,58742
2017,Maricopa2017,AZ,Maricopa,62221
2018,Maricopa2018,AZ,Maricopa,65234
2019,Maricopa2019,AZ,Maricopa,68634
1989,Pima1989,AZ,Pima,24839
1990,Pima1990,AZ,Pima,.
1991,Pima1991,AZ,Pima,.
1992,Pima1992,AZ,Pima,.
1993,Pima1993,AZ,Pima,28704
1994,Pima1994,AZ,Pima,.
1995,Pima1995,AZ,Pima,30832
1996,Pima1996,AZ,Pima,.
1997,Pima1997,AZ,Pima,32544
1998,Pima1998,AZ,Pima,34049
1999,Pima1999,AZ,Pima,34835
2000,Pima2000,AZ,Pima,37461
2001,Pima2001,AZ,Pima,36938
2002,Pima2002,AZ,Pima,36936
2003,Pima2003,AZ,Pima,37540
2004,Pima2004,AZ,Pima,38687
2005,Pima2005,AZ,Pima,41484
2006,Pima2006,AZ,Pima,43002
2007,Pima2007,AZ,Pima,43721
2008,Pima2008,AZ,Pima,46653
2009,Pima2009,AZ,Pima,43243
2010,Pima2010,AZ,Pima,44293
2011,Pima2011,AZ,Pima,44102
2012,Pima2012,AZ,Pima,44745
2013,Pima2013,AZ,Pima,43926
2014,Pima2014,AZ,Pima,45871
2015,Pima2015,AZ,Pima,47107
2016,Pima2016,AZ,Pima,47644
2017,Pima2017,AZ,Pima,51392
2018,Pima2018,AZ,Pima,53395
2019,Pima2019,AZ,Pima,56150
1989,LosAngeles1989,CA,LosAngeles,31123
1990,LosAngeles1990,CA,LosAngeles,.
1991,LosAngeles1991,CA,LosAngeles,.
1992,LosAngeles1992,CA,LosAngeles,.
1993,LosAngeles1993,CA,LosAngeles,32689
1994,LosAngeles1994,CA,LosAngeles,.
1995,LosAngeles1995,CA,LosAngeles,33828
1996,LosAngeles1996,CA,LosAngeles,.
1997,LosAngeles1997,CA,LosAngeles,36441
1998,LosAngeles1998,CA,LosAngeles,37655
1999,LosAngeles1999,CA,LosAngeles,38900
2000,LosAngeles2000,CA,LosAngeles,42045
2001,LosAngeles2001,CA,LosAngeles,41573
2002,LosAngeles2002,CA,LosAngeles,41506
2003,LosAngeles2003,CA,LosAngeles,41544
2004,LosAngeles2004,CA,LosAngeles,43518
2005,LosAngeles2005,CA,LosAngeles,48166
2006,LosAngeles2006,CA,LosAngeles,51279
2007,LosAngeles2007,CA,LosAngeles,53494
2008,LosAngeles2008,CA,LosAngeles,55452
2009,LosAngeles2009,CA,LosAngeles,54375
2010,LosAngeles2010,CA,LosAngeles,52595
2011,LosAngeles2011,CA,LosAngeles,52239
2012,LosAngeles2012,CA,LosAngeles,52929
2013,LosAngeles2013,CA,LosAngeles,54443
2014,LosAngeles2014,CA,LosAngeles,55686
2015,LosAngeles2015,CA,LosAngeles,59045
2016,LosAngeles2016,CA,LosAngeles,61308
2017,LosAngeles2017,CA,LosAngeles,64912
2018,LosAngeles2018,CA,LosAngeles,67986
2019,LosAngeles2019,CA,LosAngeles,72721
1989,Orange1989,CA,Orange,39592
1990,Orange1990,CA,Orange,.
1991,Orange1991,CA,Orange,.
1992,Orange1992,CA,Orange,.
1993,Orange1993,CA,Orange,45116
1994,Orange1994,CA,Orange,.
1995,Orange1995,CA,Orange,48701
1996,Orange1996,CA,Orange,.
1997,Orange1997,CA,Orange,49583
1998,Orange1998,CA,Orange,50986
1999,Orange1999,CA,Orange,52129
2000,Orange2000,CA,Orange,55654
2001,Orange2001,CA,Orange,55994
2002,Orange2002,CA,Orange,55992
2003,Orange2003,CA,Orange,55909
2004,Orange2004,CA,Orange,58605
2005,Orange2005,CA,Orange,65823
2006,Orange2006,CA,Orange,70109
2007,Orange2007,CA,Orange,73107
2008,Orange2008,CA,Orange,74862
2009,Orange2009,CA,Orange,71735
2010,Orange2010,CA,Orange,70727
2011,Orange2011,CA,Orange,72046
2012,Orange2012,CA,Orange,71866
2013,Orange2013,CA,Orange,73827
2014,Orange2014,CA,Orange,76061
2015,Orange2015,CA,Orange,78002
2016,Orange2016,CA,Orange,81642
2017,Orange2017,CA,Orange,86031
2018,Orange2018,CA,Orange,89373
2019,Orange2019,CA,Orange,95761
1989,Riverside1989,CA,Riverside,30192
1990,Riverside1990,CA,Riverside,.
1991,Riverside1991,CA,Riverside,.
1992,Riverside1992,CA,Riverside,.
1993,Riverside1993,CA,Riverside,34226
1994,Riverside1994,CA,Riverside,.
1995,Riverside1995,CA,Riverside,36189
1996,Riverside1996,CA,Riverside,.
1997,Riverside1997,CA,Riverside,36368
1998,Riverside1998,CA,Riverside,39428
1999,Riverside1999,CA,Riverside,40229
2000,Riverside2000,CA,Riverside,43558
2001,Riverside2001,CA,Riverside,42640
2002,Riverside2002,CA,Riverside,42929
2003,Riverside2003,CA,Riverside,44598
2004,Riverside2004,CA,Riverside,46885
2005,Riverside2005,CA,Riverside,52029
2006,Riverside2006,CA,Riverside,53269
2007,Riverside2007,CA,Riverside,57736
2008,Riverside2008,CA,Riverside,57590
2009,Riverside2009,CA,Riverside,55151
2010,Riverside2010,CA,Riverside,53981
2011,Riverside2011,CA,Riverside,52491
2012,Riverside2012,CA,Riverside,52416
2013,Riverside2013,CA,Riverside,53909
2014,Riverside2014,CA,Riverside,56877
2015,Riverside2015,CA,Riverside,57895
2016,Riverside2016,CA,Riverside,59951
2017,Riverside2017,CA,Riverside,63776
2018,Riverside2018,CA,Riverside,66793
2019,Riverside2019,CA,Riverside,72905
1989,SanBernardino1989,CA,SanBernardino,30550
1990,SanBernardino1990,CA,SanBernardino,.
1991,SanBernardino1991,CA,SanBernardino,.
1992,SanBernardino1992,CA,SanBernardino,.
1993,SanBernardino1993,CA,SanBernardino,34397
1994,SanBernardino1994,CA,SanBernardino,.
1995,SanBernardino1995,CA,SanBernardino,35725
1996,SanBernardino1996,CA,SanBernardino,.
1997,SanBernardino1997,CA,SanBernardino,36876
1998,SanBernardino1998,CA,SanBernardino,38225
1999,SanBernardino1999,CA,SanBernardino,38497
2000,SanBernardino2000,CA,SanBernardino,40950
2001,SanBernardino2001,CA,SanBernardino,40672
2002,SanBernardino2002,CA,SanBernardino,41583
2003,SanBernardino2003,CA,SanBernardino,43294
2004,SanBernardino2004,CA,SanBernardino,43179
2005,SanBernardino2005,CA,SanBernardino,48761
2006,SanBernardino2006,CA,SanBernardino,52686
2007,SanBernardino2007,CA,SanBernardino,55995
2008,SanBernardino2008,CA,SanBernardino,54768
2009,SanBernardino2009,CA,SanBernardino,52137
2010,SanBernardino2010,CA,SanBernardino,52270
2011,SanBernardino2011,CA,SanBernardino,51017
2012,SanBernardino2012,CA,SanBernardino,50603
2013,SanBernardino2013,CA,SanBernardino,52112
2014,SanBernardino2014,CA,SanBernardino,51951
2015,SanBernardino2015,CA,SanBernardino,53526
2016,SanBernardino2016,CA,SanBernardino,56194
2017,SanBernardino2017,CA,SanBernardino,60270
2018,SanBernardino2018,CA,SanBernardino,63310
2019,SanBernardino2019,CA,SanBernardino,67398
1989,SanDiego1989,CA,SanDiego,31627
1990,SanDiego1990,CA,SanDiego,.
1991,SanDiego1991,CA,SanDiego,.
1992,SanDiego1992,CA,SanDiego,.
1993,SanDiego1993,CA,SanDiego,35648
1994,SanDiego1994,CA,SanDiego,.
1995,SanDiego1995,CA,SanDiego,37239
1996,SanDiego1996,CA,SanDiego,.
1997,SanDiego1997,CA,SanDiego,39427
1998,SanDiego1998,CA,SanDiego,41909
1999,SanDiego1999,CA,SanDiego,44009
2000,SanDiego2000,CA,SanDiego,48363
2001,SanDiego2001,CA,SanDiego,47944
2002,SanDiego2002,CA,SanDiego,47867
2003,SanDiego2003,CA,SanDiego,48766
2004,SanDiego2004,CA,SanDiego,51939
2005,SanDiego2005,CA,SanDiego,56224
2006,SanDiego2006,CA,SanDiego,59279
2007,SanDiego2007,CA,SanDiego,61724
2008,SanDiego2008,CA,SanDiego,62820
2009,SanDiego2009,CA,SanDiego,60103
2010,SanDiego2010,CA,SanDiego,59759
2011,SanDiego2011,CA,SanDiego,59290
2012,SanDiego2012,CA,SanDiego,60235
2013,SanDiego2013,CA,SanDiego,61365
2014,SanDiego2014,CA,SanDiego,66034
2015,SanDiego2015,CA,SanDiego,67053
2016,SanDiego2016,CA,SanDiego,70693
2017,SanDiego2017,CA,SanDiego,76048
2018,SanDiego2018,CA,SanDiego,78777
