NAME,LSAD,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
"Abilene, TX",Metropolitan Statistical Area,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060
"Callahan County, TX",County or equivalent,13512,13511,13488,13502,13505,13589,13789,13968,13990,13943
"Jones County, TX",County or equivalent,20238,20270,19870,20044,19850,19966,19971,19827,19866,20083
"Taylor County, TX",County or equivalent,131835,132853,134084,133927,134987,136133,136257,136634,137294,138034
"Akron, OH",Metropolitan Statistical Area,703031,703200,702109,703621,704908,704382,703524,703987,703855,703479
"Portage County, OH",County or equivalent,161386,161875,161383,161695,162463,162594,162521,162473,162502,162466
"Summit County, OH",County or equivalent,541645,541325,540726,541926,542445,541788,541003,541514,541353,541013
"Albany, GA",Metropolitan Statistical Area,154145,154545,153976,152667,151949,150387,149137,148090,147840,146726
"Dougherty County, GA",County or equivalent,94513,95063,94694,93411,92742,91513,90389,89457,89200,87956
"Lee County, GA",County or equivalent,28414,28578,28708,29039,29122,29173,29184,29410,29751,29992
"Terrell County, GA",County or equivalent,9526,9392,9225,9165,9079,9013,8861,8695,8587,8531
"Worth County, GA",County or equivalent,21692,21512,21349,21052,21006,20688,20703,20528,20302,20247
"Albany-Lebanon, OR",Metropolitan Statistical Area,116891,118164,118273,118405,119042,120236,122769,125035,127451,129749
"Linn County, OR",County or equivalent,116891,118164,118273,118405,119042,120236,122769,125035,127451,129749
"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,871082,872778,874698,877065,878113,879085,879792,882158,882263,880381
"Albany County, NY",County or equivalent,304086,304596,305723,306589,307151,307433,307597,307717,306585,305506
"Rensselaer County, NY",County or equivalent,159340,159589,159437,159545,159666,159436,159294,159200,159283,158714
"Saratoga County, NY",County or equivalent,220109,221111,222483,224087,224513,226078,227122,229276,230170,229863
"Schenectady County, NY",County or equivalent,154861,154864,155016,154944,155016,154733,154475,154710,155079,155299
"Schoharie County, NY",County or equivalent,32686,32618,32039,31900,31767,31405,31304,31255,31146,30999
"Albuquerque, NM",Metropolitan Statistical Area,889558,898016,901939,904953,904538,906026,909237,912311,914947,918018
"Bernalillo County, NM",County or equivalent,663923,670283,673615,676326,675957,676248,677683,678203,678034,679121
"Sandoval County, NM",County or equivalent,132431,134326,135380,136311,137023,138521,140464,142689,145096,146748
"Torrance County, NM",County or equivalent,16404,16447,16155,15825,15666,15596,15491,15535,15512,15461
"Valencia County, NM",County or equivalent,76800,76960,76789,76491,75892,75661,75599,75884,76305,76688
"Alexandria, LA",Metropolitan Statistical Area,154096,154402,154400,154623,154558,154082,154124,153549,152762,152037
"Grant Parish, LA",County or equivalent,22336,22382,22388,22301,22356,22302,22279,22296,22436,22389
"Rapides Parish, LA",County or equivalent,131760,132020,132012,132322,132202,131780,131845,131253,130326,129648
"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,821923,824930,826144,825731,828470,830295,833163,837921,842626,844052
"Warren County, NJ",County or equivalent,108576,108142,107563,106897,106981,106742,106059,105715,105528,105267
"Carbon County, PA",County or equivalent,65248,65086,64800,64538,64255,63753,63499,63828,64175,64182
"Lehigh County, PA",County or equivalent,350164,353436,354759,355341,357636,359710,362298,365577,368359,369318
"Northampton County, PA",County or equivalent,297935,298266,299022,298955,299598,300090,301307,302801,304564,305285
"Altoona, PA",Metropolitan Statistical Area,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829
"Blair County, PA",County or equivalent,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829
"Amarillo, TX",Metropolitan Statistical Area,252664,255975,257802,258896,260812,261618,262987,264331,264406,265053
"Armstrong County, TX",County or equivalent,1902,1936,1953,1940,1913,1901,1843,1867,1879,1887
"Carson County, TX",County or equivalent,6162,6238,6089,5988,6036,6013,6096,6005,6007,5926
"Oldham County, TX",County or equivalent,2050,2072,2046,2088,2069,2064,2074,2104,2118,2112
"Potter County, TX",County or equivalent,121371,122305,122739,122127,122061,121272,120632,120340,118711,117415
"Randall County, TX",County or equivalent,121179,123424,124975,126753,128733,130368,132342,134015,135691,137713
"Ames, IA",Metropolitan Statistical Area,115925,117424,118139,120161,122092,123079,123309,123721,123093,123351
"Boone County, IA",County or equivalent,26271,26288,26136,26284,26290,26443,26416,26443,26312,26234
"Story County, IA",County or equivalent,89654,91136,92003,93877,95802,96636,96893,97278,96781,97117
"Anchorage, AK",Metropolitan Statistical Area,383053,387922,391932,397022,397996,398609,401368,400570,397636,396317
"Anchorage Municipality, AK",County or equivalent,293321,296197,298255,301142,299893,297547,297249,294338,290521,288000
"Matanuska-Susitna Borough, AK",County or equivalent,89732,91725,93677,95880,98103,101062,104119,106232,107115,108317
"Ann Arbor, MI",Metropolitan Statistical Area,345717,349753,352303,356040,360021,362975,366135,368807,369483,367601
"Washtenaw County, MI",County or equivalent,345717,349753,352303,356040,360021,362975,366135,368807,369483,367601
"Anniston-Oxford, AL",Metropolitan Statistical Area,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605
"Calhoun County, AL",County or equivalent,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605
"Appleton, WI",Metropolitan Statistical Area,225948,227548,228656,229978,231627,233146,234200,235811,237011,237974
"Calumet County, WI",County or equivalent,49040,49622,49653,49648,49479,49818,49607,49995,50132,50089
"Outagamie County, WI",County or equivalent,176908,177926,179003,180330,182148,183328,184593,185816,186879,187885
"Asheville, NC",Metropolitan Statistical Area,425338,428113,430945,435795,439661,444593,450310,454855,459314,462680
"Buncombe County, NC",County or equivalent,238738,241172,243655,246807,249084,251954,254955,257071,259259,261191
"Haywood County, NC",County or equivalent,58932,58726,58640,58962,59132,59646,60405,61005,61890,62317
"Henderson County, NC",County or equivalent,106891,107370,107768,108879,110258,111847,113583,115216,116500,117417
"Madison County, NC",County or equivalent,20777,20845,20882,21147,21187,21146,21367,21563,21665,21755
"Athens-Clarke County, GA",Metropolitan Statistical Area,193439,194375,195984,197590,198361,202565,205402,209106,211468,213750
"Clarke County, GA",County or equivalent,117403,118229,119891,120888,120386,123561,124905,126815,127268,128331
"Madison County, GA",County or equivalent,28212,28174,28070,28202,28362,28419,28856,29295,29642,29880
"Oconee County, GA",County or equivalent,32925,33264,33514,34077,35072,35853,36929,38122,39478,40280
"Oglethorpe County, GA",County or equivalent,14899,14708,14509,14423,14541,14732,14712,14874,15080,15259
"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,5302598,5366462,5444473,5510530,5593204,5686048,5787965,5872432,5945303,6020364
"Barrow County, GA",County or equivalent,69676,69844,70135,71239,72849,74979,77000,78899,80834,83240
"Bartow County, GA",County or equivalent,100050,100116,100240,100917,101233,102043,103338,105098,106378,107738
"Butts County, GA",County or equivalent,23786,23609,23438,23218,23341,23520,23736,24067,24192,24936
