State,Year,County,CountyID,Population Change Abs,Pop Change (%),Population
AL,2010,Baldwin,BaldwinAL2010,40969,22.47771103,183112
AL,2011,Baldwin,BaldwinAL2011,40969,22.47771103,186558
AL,2012,Baldwin,BaldwinAL2012,40969,22.47771103,190145
AL,2013,Baldwin,BaldwinAL2013,40969,22.47771103,194885
AL,2014,Baldwin,BaldwinAL2014,40969,22.47771103,199183
AL,2015,Baldwin,BaldwinAL2015,40969,22.47771103,202939
AL,2016,Baldwin,BaldwinAL2016,40969,22.47771103,207601
AL,2017,Baldwin,BaldwinAL2017,40969,22.47771103,212521
AL,2018,Baldwin,BaldwinAL2018,40969,22.47771103,217855
AL,2019,Baldwin,BaldwinAL2019,40969,22.47771103,223234
AL,2010,Limestone,LimestoneAL2010,16129,19.48276279,83181
AL,2011,Limestone,LimestoneAL2011,16129,19.48276279,85557
AL,2012,Limestone,LimestoneAL2012,16129,19.48276279,87326
AL,2013,Limestone,LimestoneAL2013,16129,19.48276279,88916
AL,2014,Limestone,LimestoneAL2014,16129,19.48276279,90599
AL,2015,Limestone,LimestoneAL2015,16129,19.48276279,91565
AL,2016,Limestone,LimestoneAL2016,16129,19.48276279,92847
AL,2017,Limestone,LimestoneAL2017,16129,19.48276279,94130
AL,2018,Limestone,LimestoneAL2018,16129,19.48276279,96177
AL,2019,Limestone,LimestoneAL2019,16129,19.48276279,98915
AL,2010,Lee,LeeAL2010,24255,17.28955641,140794
AL,2011,Lee,LeeAL2011,24255,17.28955641,144130
AL,2012,Lee,LeeAL2012,24255,17.28955641,148567
AL,2013,Lee,LeeAL2013,24255,17.28955641,151809
AL,2014,Lee,LeeAL2014,24255,17.28955641,154511
AL,2015,Lee,LeeAL2015,24255,17.28955641,156954
AL,2016,Lee,LeeAL2016,24255,17.28955641,159168
AL,2017,Lee,LeeAL2017,24255,17.28955641,161440
AL,2018,Lee,LeeAL2018,24255,17.28955641,163656
AL,2019,Lee,LeeAL2019,24255,17.28955641,164542
AL,2010,Shelby,ShelbyAL2010,22449,11.49739057,196032
AL,2011,Shelby,ShelbyAL2011,22449,11.49739057,197952
AL,2012,Shelby,ShelbyAL2012,22449,11.49739057,200912
AL,2013,Shelby,ShelbyAL2013,22449,11.49739057,204039
AL,2014,Shelby,ShelbyAL2014,22449,11.49739057,206280
AL,2015,Shelby,ShelbyAL2015,22449,11.49739057,208959
AL,2016,Shelby,ShelbyAL2016,22449,11.49739057,211282
AL,2017,Shelby,ShelbyAL2017,22449,11.49739057,213633
AL,2018,Shelby,ShelbyAL2018,22449,11.49739057,215583
AL,2019,Shelby,ShelbyAL2019,22449,11.49739057,217702
AL,2010,Madison,MadisonAL2010,38102,11.38028775,336095
AL,2011,Madison,MadisonAL2011,38102,11.38028775,339565
AL,2012,Madison,MadisonAL2012,38102,11.38028775,342730
AL,2013,Madison,MadisonAL2013,38102,11.38028775,346625
AL,2014,Madison,MadisonAL2014,38102,11.38028775,349796
AL,2015,Madison,MadisonAL2015,38102,11.38028775,352977
AL,2016,Madison,MadisonAL2016,38102,11.38028775,356729
AL,2017,Madison,MadisonAL2017,38102,11.38028775,361762
AL,2018,Madison,MadisonAL2018,38102,11.38028775,367004
AL,2019,Madison,MadisonAL2019,38102,11.38028775,372909
AK,2010,Skagway,SkagwayAK2010,215,22.2107438,968
AK,2011,Skagway,SkagwayAK2011,215,22.2107438,962
AK,2012,Skagway,SkagwayAK2012,215,22.2107438,998
AK,2013,Skagway,SkagwayAK2013,215,22.2107438,1026
AK,2014,Skagway,SkagwayAK2014,215,22.2107438,1054
AK,2015,Skagway,SkagwayAK2015,215,22.2107438,1088
AK,2016,Skagway,SkagwayAK2016,215,22.2107438,1132
AK,2017,Skagway,SkagwayAK2017,215,22.2107438,1167
AK,2018,Skagway,SkagwayAK2018,215,22.2107438,1169
AK,2019,Skagway,SkagwayAK2019,215,22.2107438,1183
AK,2010,Matanuska-Susitna,Matanuska-SusitnaAK2010,19332,21.72500983,89732
AK,2011,Matanuska-Susitna,Matanuska-SusitnaAK2011,19332,21.72500983,91725
AK,2012,Matanuska-Susitna,Matanuska-SusitnaAK2012,19332,21.72500983,93677
AK,2013,Matanuska-Susitna,Matanuska-SusitnaAK2013,19332,21.72500983,95880
AK,2014,Matanuska-Susitna,Matanuska-SusitnaAK2014,19332,21.72500983,98103
AK,2015,Matanuska-Susitna,Matanuska-SusitnaAK2015,19332,21.72500983,101062
AK,2016,Matanuska-Susitna,Matanuska-SusitnaAK2016,19332,21.72500983,104119
AK,2017,Matanuska-Susitna,Matanuska-SusitnaAK2017,19332,21.72500983,106232
AK,2018,Matanuska-Susitna,Matanuska-SusitnaAK2018,19332,21.72500983,107115
AK,2019,Matanuska-Susitna,Matanuska-SusitnaAK2019,19332,21.72500983,108317
AK,2010,Denali,DenaliAK2010,275,15.09330406,1835
AK,2011,Denali,DenaliAK2011,275,15.09330406,1872
AK,2012,Denali,DenaliAK2012,275,15.09330406,1908
AK,2013,Denali,DenaliAK2013,275,15.09330406,1943
AK,2014,Denali,DenaliAK2014,275,15.09330406,1916
AK,2015,Denali,DenaliAK2015,275,15.09330406,1933
AK,2016,Denali,DenaliAK2016,275,15.09330406,2055
AK,2017,Denali,DenaliAK2017,275,15.09330406,2084
AK,2018,Denali,DenaliAK2018,275,15.09330406,2032
AK,2019,Denali,DenaliAK2019,275,15.09330406,2097
AK,2010,Kusilvak,KusilvakAK2010,855,11.46266256,7467
AK,2011,Kusilvak,KusilvakAK2011,855,11.46266256,7651
AK,2012,Kusilvak,KusilvakAK2012,855,11.46266256,7794
AK,2013,Kusilvak,KusilvakAK2013,855,11.46266256,7974
AK,2014,Kusilvak,KusilvakAK2014,855,11.46266256,8100
AK,2015,Kusilvak,KusilvakAK2015,855,11.46266256,8194
AK,2016,Kusilvak,KusilvakAK2016,855,11.46266256,8181
AK,2017,Kusilvak,KusilvakAK2017,855,11.46266256,8236
AK,2018,Kusilvak,KusilvakAK2018,855,11.46266256,8323
AK,2019,Kusilvak,KusilvakAK2019,855,11.46266256,8314
AK,2010,Bethel,BethelAK2010,1373,8.070299183,17084
AK,2011,Bethel,BethelAK2011,1373,8.070299183,17419
AK,2012,Bethel,BethelAK2012,1373,8.070299183,17656
AK,2013,Bethel,BethelAK2013,1373,8.070299183,17852
AK,2014,Bethel,BethelAK2014,1373,8.070299183,17936
AK,2015,Bethel,BethelAK2015,1373,8.070299183,17955
AK,2016,Bethel,BethelAK2016,1373,8.070299183,18022
AK,2017,Bethel,BethelAK2017,1373,8.070299183,18090
AK,2018,Bethel,BethelAK2018,1373,8.070299183,18219
AK,2019,Bethel,BethelAK2019,1373,8.070299183,18386
AZ,2010,Pinal,PinalAZ2010,87025,23.15948308,379094
AZ,2011,Pinal,PinalAZ2011,87025,23.15948308,378041
AZ,2012,Pinal,PinalAZ2012,87025,23.15948308,382251
AZ,2013,Pinal,PinalAZ2013,87025,23.15948308,385398
AZ,2014,Pinal,PinalAZ2014,87025,23.15948308,395322
AZ,2015,Pinal,PinalAZ2015,87025,23.15948308,405614
AZ,2016,Pinal,PinalAZ2016,87025,23.15948308,417193
AZ,2017,Pinal,PinalAZ2017,87025,23.15948308,431564
AZ,2018,Pinal,PinalAZ2018,87025,23.15948308,446806
AZ,2019,Pinal,PinalAZ2019,87025,23.15948308,462789
AZ,2010,Maricopa,MaricopaAZ2010,668049,17.50026524,3825110
AZ,2011,Maricopa,MaricopaAZ2011,668049,17.50026524,3874996
AZ,2012,Maricopa,MaricopaAZ2012,668049,17.50026524,3947505
AZ,2013,Maricopa,MaricopaAZ2013,668049,17.50026524,4017723
AZ,2014,Maricopa,MaricopaAZ2014,668049,17.50026524,4093648
AZ,2015,Maricopa,MaricopaAZ2015,668049,17.50026524,4172905
AZ,2016,Maricopa,MaricopaAZ2016,668049,17.50026524,4256143
AZ,2017,Maricopa,MaricopaAZ2017,668049,17.50026524,4327184
AZ,2018,Maricopa,MaricopaAZ2018,668049,17.50026524,4402403
AZ,2019,Maricopa,MaricopaAZ2019,668049,17.50026524,4485414
AZ,2010,Greenlee,GreenleeAZ2010,1054,12.48223591,8339
