NAME,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Akron, OH ",2.1,3.2,4.5,3,3,4.1,3.8,1.4,2.4,0.8
"Albany-Schenectady-Troy, NY ",2,1.5,2.1,2.3,2.4,1,1.8,0.8,2.2,1.4
"Albuquerque, NM",1.8,2,2.6,1.9,1.9,1.7,1.4,2.2,2.4,1.9
"Allentown-Bethlehem-Easton, PA-NJ",0.6,1.1,1.2,1.3,2,0.5,1.8,2.5,2,1.7
"Atlanta-Sandy Springs-Marietta, GA\1",3.4,3.8,4.7,4.8,4.1,3,4.3,2.6,2.1,2.5
"Austin-Round Rock, TX\2",2.4,1.5,1.5,2.3,1.6,1.9,0.6,1.3,1.1,0.8
"Bakersfield, CA",1.5,2.3,1.3,2.8,3.4,1.8,1,4,0.8,0.6
"Baltimore-Towson, MD\3",1.5,2.4,2.7,2.3,1.9,2.2,2.8,2.2,1.8,1.3
"Baton Rouge, LA",2.3,0.9,1.6,0.9,2.9,1,2.1,1.1,2.2,1.8
"Birmingham-Hoover, AL\4",1.6,2.9,2.5,3.3,2.2,2.3,1.6,1.5,1.8,2.7
"Boston-Cambridge-Quincy, MA-NH\5",1.2,2,1.9,1.5,1.5,1.2,1.4,1.3,1.1,0.8
"Bridgeport-Stamford-Norwalk, CT",1.3,4.3,4.3,2.9,2,1.3,2,1.5,2.6,1.6
"Buffalo-Cheektowaga-Tonawanda, NY\6",1.4,1.5,1.4,2.2,2.9,1.7,2,2.6,1,2.1
"Charlotte-Gastonia-Concord, NC-SC\7",2.3,2.9,3.1,4,5.1,3.1,1.9,1.3,3.5,1.7
"Chicago-Naperville-Joliet, IL\8",1.9,2.3,2.7,3.1,2.9,3.4,3.6,2.8,2.8,2.6
"Cincinnati-Middletown, OH-KY-IN\9",2.3,3.2,4,4.4,4,4,3,1.8,2.6,2.2
"Cleveland-Elyria-Mentor, OH/4\10",3.4,4.1,4.5,2.7,3,3.1,1.9,1.9,1.9,1.5
"Columbia, SC",2.8,2.8,2.1,3.2,3.1,2.5,5.1,2.2,1.8,1.5
"Columbus, OH",3,3.4,2.8,3.2,2,4.2,3.2,2.3,1.1,1.7
"Dallas-Ft Worth-Arlington, TX\11",2.2,2.3,2.5,2.8,2.1,2.3,2,2.1,1.9,1.5
"Dayton, OH",3.9,3.1,1.2,2.9,4,3.7,5.1,2.1,3.2,0.4
"Denver-Aurora, CO\12",2.7,3.7,3,3.1,2.7,1.7,1.8,1.5,1.2,0.8
"Detroit-Warren-Livonia, MI\13",2.7,3.7,4.1,4.6,3.3,2.6,1.8,0.9,1.7,1.2
"El Paso, TX…",0.5,0.3,2.2,3,2.5,1.4,1.3,0.1,2.9,1.5
"Fresno, CA",0.2,0.9,0.3,2,1.6,1.6,1,0.8,1.5,0.1
"Grand Rapids-Wyoming, MI\14",3.4,2.9,1.7,2.3,3.7,3.6,2.6,2.4,2.5,1.6
"Greensboro-High Point, NC\15",2.8,2.4,2.4,5.6,6.3,4.1,3,3.5,3,2
"Hartford-West Hartford-East Hartford, CT\16",1,1.4,0.8,1.4,1.1,1.7,1.8,1.5,1,1.3
"Honolulu, HI",0.6,0.8,1.2,1,0.8,1,0.7,1.3,0.9,1.1
"Houston-Baytown-Sugar Land, TX\17",3.5,2.8,3.1,2.7,1.9,2.8,2,1.9,2.3,1.3
"Indianapolis, IN",3.7,3.5,4.3,4.2,2.6,3,3.4,1.8,1.5,2.2
"Jacksonville, FL",3.3,4.9,4.6,5.4,3.7,4.6,2.8,1.9,1.5,2.6
"Kansas City, MO-KS",2.6,4.1,2.5,3.4,3.4,2.7,2.7,1.6,2,1.5
